,ele,lat,lon,distance
0,38.688,-12.4660184,130.8427841,0.0
10,40.116,-12.4655233,130.8426266,80.69655894596355
16,39.141,-12.4647732,130.843397,199.17086081345897
18,37.385,-12.4643751,130.8437874,260.4598310482221
22,36.143,-12.4638709,130.8442954,339.12114623405563
28,33.4,-12.4633258,130.8448378,423.6475922320297
30,32.157,-12.4628311,130.8453278,500.1740732844883
36,21.936,-12.4622499,130.8458393,586.1656390180893
40,18.581,-12.4617756,130.846237,654.6013236049519
43,20.537,-12.4608635,130.8467056,768.0751454093205
48,18.793,-12.4605233,130.8468108,807.6412637452287
53,15.208,-12.4597446,130.8469361,895.4373123017094
55,15.671,-12.4591043,130.8469257,966.7424225403402
59,10.233,-12.4583262,130.8467696,1055.0869405814967
62,10.895,-12.4577485,130.8465523,1123.5430555607215
65,9.287,-12.4569821,130.8460533,1225.0569499836756
71,10.666,-12.4565735,130.8455553,1295.9629981858222
75,9.704,-12.4561754,130.844999,1371.0196556810922
81,7.59,-12.4556701,130.845114,1445.5972698085027
85,7.814,-12.4547738,130.8457273,1565.5952778897615
88,10.148,-12.454274,130.846044,1630.9485751096117
91,9.035,-12.4537458,130.8463875,1700.5964496816562
94,6.176,-12.4533269,130.846742,1761.2197951258881
99,7.529,-12.4526307,130.8473126,1860.9030260529912
102,12.992,-12.4518384,130.8477867,1963.046495737816
104,13.613,-12.451419,130.8479866,2014.5527611900834
108,11.537,-12.4507622,130.8482195,2092.091960122279
111,5.0,-12.4501385,130.8483813,2163.657610221466
113,6.607,-12.4487861,130.8487155,2318.3850054035092
114,6.422,-12.4483338,130.8488304,2370.202776199828
115,6.054,-12.4478811,130.8489474,2422.1190483690007
117,10.492,-12.4470463,130.8490761,2516.001019305294
119,11.108,-12.4465242,130.8491366,2574.4503470328204
121,9.042,-12.4458507,130.8491695,2649.4427526065147
123,11.297,-12.445062,130.8491598,2737.148604801461
127,12.405,-12.4429804,130.8490091,2969.2312722622587
128,13.431,-12.442742,130.8489925,2995.8013522135598
129,13.989,-12.4426318,130.8489899,3008.0582848838335
132,12.758,-12.4421454,130.8490035,3062.176444187199
135,6.316,-12.4415469,130.8490515,3128.9397666281443
137,3.976,-12.4408186,130.8491707,3210.9735864916506
139,2.514,-12.4401687,130.8493233,3285.188759400527
145,6.561,-12.4393394,130.8496091,3382.557544000198
147,8.583,-12.4384297,130.8500769,3495.7604402574793
149,10.672,-12.438128,130.8502592,3534.7378472355263
150,19.234,-12.4370071,130.8511701,3693.8541271315084
151,21.151,-12.4368228,130.8513508,3722.2261605779595
152,21.992,-12.4365649,130.8516285,3763.839364004823
153,24.008,-12.43605,130.8522922,3855.8823406873853
156,22.163,-12.4357131,130.8527817,3920.933690306533
158,23.004,-12.4353533,130.8534513,4003.966024130603
161,19.896,-12.434584,130.8553354,4225.858773364858
162,18.222,-12.434375,130.8558867,4290.075282648364
163,17.069,-12.4340136,130.8568105,4398.137693449579
164,17.292,-12.4338753,130.8571624,4439.327807076279
165,16.355,-12.4337971,130.8573581,4462.288479588742
166,15.638,-12.4336554,130.8577456,4507.219228203859
168,17.998,-12.4334557,130.8583389,4575.484488009641
170,16.62,-12.4332056,130.8589796,4650.412871275467
174,11.001,-12.4329871,130.859584,4720.401551738816
177,5.69,-12.4327627,130.8603848,4810.8718798284335
181,4.474,-12.4326207,130.8610158,4881.195360184801
184,4.491,-12.4325152,130.8618002,4967.189414583849
186,3.081,-12.4324762,130.8625144,5044.873327954418
188,6.359,-12.4324538,130.8633676,5137.557421452726
190,7.616,-12.4324296,130.8662821,5454.067622766966
191,7.587,-12.4324344,130.866847,5515.4110061303145
192,7.19,-12.4324397,130.8669791,5529.76751166872
193,11.421,-12.4324196,130.8698267,5838.989269128945
194,15.215,-12.4324129,130.8709939,5965.734760458525
195,19.334,-12.4324144,130.8715053,6021.266646618266
196,19.239,-12.4324203,130.8717984,6053.10039650612
197,18.29,-12.4324221,130.8720639,6081.931065541308
198,16.634,-12.4324255,130.8731571,6200.639492661165
199,16.306,-12.4324199,130.8735339,6241.559990584346
200,17.896,-12.4324105,130.8738251,6273.197934205877
201,18.849,-12.4324064,130.8739976,6291.934821549739
202,20.677,-12.4323987,130.8744762,6343.911842648734
203,22.227,-12.4323972,130.8749709,6397.630329645651
204,23.909,-12.4323954,130.8752128,6423.898404599665
205,23.488,-12.4323915,130.8757359,6480.702173551952
206,23.189,-12.4323901,130.8759201,6500.704594340569
209,23.256,-12.4323959,130.877849,6710.162606271635
210,17.445,-12.4323763,130.8809667,7048.712833926537
211,14.622,-12.4323604,130.8836779,7343.120561275688
212,15.424,-12.4323724,130.8841878,7398.505401675492
213,14.918,-12.43236,130.8864387,7642.92888706941
214,16.237,-12.4323653,130.8879138,7803.107389797132
215,16.021,-12.4323611,130.8884664,7863.114658532382
216,18.499,-12.4323614,130.8897733,8005.027664603619
217,18.508,-12.4323588,130.889966,8025.954472829216
218,19.022,-12.4323615,130.8905676,8091.281402255254
219,19.303,-12.4323456,130.890707,8106.521400641122
220,18.388,-12.4324107,130.8913313,8174.697957848407
221,19.208,-12.4324388,130.891526,8196.069582455111
222,21.39,-12.4324963,130.8918591,8232.800811740037
223,22.092,-12.4325427,130.8921102,8260.550968872907
224,23.149,-12.4326015,130.8923817,8290.74876095644
225,23.743,-12.4326885,130.8927513,8332.032111858889
226,24.362,-12.4327988,130.8931494,8376.966941186456
227,24.79,-12.4328753,130.8933939,8404.845966092142
228,24.793,-12.4328761,130.8933966,8405.152349826
229,24.834,-12.432931,130.893572,8425.152954341444
230,24.816,-12.4329403,130.8936016,8428.529396370679
231,28.586,-12.4330998,130.8941042,8485.914797373205
232,28.173,-12.4332485,130.8944709,8529.03024148491
233,25.403,-12.4335464,130.8950471,8599.82573265372
234,25.298,-12.4337411,130.8954106,8644.84457072869
235,19.435,-12.4340611,130.8959436,8712.784461755547
236,17.047,-12.434472,130.896535,8791.59784766661
237,15.233,-12.4348317,130.8969893,8855.105953816543
239,15.427,-12.4350223,130.8972837,8893.500543882106
240,10.0,-12.4356545,130.8981273,9008.96874479117
243,11.55,-12.4363875,130.8990423,9137.503934813702
244,11.33,-12.4365749,130.8993169,9173.881287789818
245,10.809,-12.4367796,130.8995914,9211.385077445697
248,16.005,-12.437248,130.9002791,9302.483235109972
