,ele,lat,lon,distance,temp
13195,362.107,-20.4262181,134.2460814,1079226.484213533,13490.0
13197,362.571,-20.4272555,134.2462087,1079342.5981064888,13491.0
13198,361.71,-20.4276744,134.2462608,1079389.4929715905,13492.0
13200,359.277,-20.4283681,134.2463466,1079467.1485185109,13493.0
13203,362.138,-20.4291188,134.2464623,1079551.493188811,13494.0
13204,362.857,-20.4297906,134.2465695,1079627.0245009568,13495.0
13205,361.899,-20.4310124,134.2467455,1079764.1146707197,13497.0
13209,357.376,-20.4323271,134.2469454,1079911.779887486,13498.0
13210,360.216,-20.4337312,134.247162,1080069.5315279616,13500.0
13211,360.0,-20.4347185,134.2473157,1080180.4762857344,13502.0
13213,360.842,-20.4358469,134.2474825,1080307.1466436984,13503.0
13214,360.425,-20.4364357,134.2475712,1080373.2673341536,13504.0
13215,362.0,-20.4371636,134.2476792,1080454.984659476,13505.0
13216,363.075,-20.438032,134.2478099,1080552.5019226256,13506.0
13217,361.38,-20.4383961,134.2478639,1080593.3770985592,13507.0
13219,363.133,-20.4388931,134.2479364,1080649.1549611837,13508.0
13221,358.668,-20.4399597,134.2480808,1080768.707071119,13509.0
13222,362.5,-20.4407559,134.2481944,1080858.028196396,13510.0
13223,362.775,-20.4409551,134.2482219,1080880.362784867,13511.0
13226,361.278,-20.4420686,134.24837,1081005.1366040476,13512.0
13228,361.342,-20.4425179,134.2484282,1081055.4633000195,13513.0
13230,361.479,-20.4431988,134.2485157,1081131.7232576583,13514.0
13232,361.725,-20.444337,134.2486457,1081259.0080674745,13515.0
13233,361.184,-20.4446507,134.2486798,1081294.070390762,13516.0
13234,364.028,-20.4454525,134.2487871,1081383.924679043,13517.0
13235,367.052,-20.4459904,134.2488502,1081444.0966674266,13518.0
13236,363.012,-20.4478682,134.2490796,1081654.2619921418,13520.0
13237,366.941,-20.4525521,134.2496347,1082178.2891198534,13527.0
13238,367.737,-20.4542546,134.249839,1082368.7913096885,13529.0
