ele,lat,lon,name
418.269,-25.1974444,133.2009195,Route7
418.269,-25.1974444,133.2009195,Route7
417.86,-25.1977567,133.2010408,Route7
417.034,-25.1980458,133.2011217,Route7
415.737,-25.1979732,133.2016091,Route7
415.213,-25.1979519,133.201697,Route7
416.064,-25.1980645,133.201729,Route7
419.387,-25.1985569,133.2018676,Route7
419.507,-25.198574,133.2018719,Route7
420.993,-25.198914,133.2019667,Route7
417.99,-25.1997366,133.2021695,Route7
417.967,-25.1998595,133.2022037,Route7
417.8,-25.200226,133.2023075,Route7
418.431,-25.2007237,133.2024516,Route7
419.201,-25.2008895,133.2024996,Route7
420.739,-25.2012703,133.2026082,Route7
420.886,-25.2014445,133.2026579,Route7
420.383,-25.2016182,133.2027075,Route7
418.395,-25.2020542,133.202836,Route7
418.422,-25.2023225,133.2029084,Route7
419.897,-25.2024892,133.2029565,Route7
420.588,-25.2026633,133.2030068,Route7
420.787,-25.2028373,133.203057,Route7
420.316,-25.2030113,133.2031072,Route7
420.033,-25.2031334,133.2031425,Route7
419.899,-25.2031854,133.2031573,Route7
417.958,-25.2036252,133.2032829,Route7
418.36,-25.2044848,133.2035283,Route7
419.727,-25.2051217,133.2037121,Route7
419.525,-25.2054496,133.2038023,Route7
417.944,-25.2056533,133.2038583,Route7
416.363,-25.2057995,133.2038947,Route7
415.805,-25.2062889,133.2040165,Route7
415.885,-25.2063259,133.2040256,Route7
416.09,-25.2064182,133.2040484,Route7
416.285,-25.2065014,133.2040689,Route7
416.398,-25.2065937,133.2040917,Route7
416.392,-25.206677,133.2041122,Route7
416.08,-25.2068525,133.2041555,Route7
416.054,-25.2068673,133.2041591,Route7
416.502,-25.2075215,133.2042946,Route7
417.488,-25.2079132,133.2043753,Route7
418.67,-25.2082418,133.2044429,Route7
419.198,-25.2088485,133.2045558,Route7
418.881,-25.2093672,133.204643,Route7
419.238,-25.2095105,133.2046647,Route7
420.0,-25.2098669,133.2047186,Route7
420.005,-25.2099258,133.2047275,Route7
419.838,-25.210045,133.2047465,Route7
419.501,-25.2101386,133.2047614,Route7
419.303,-25.2101935,133.2047701,Route7
419.0,-25.2105273,133.2048126,Route7
419.504,-25.2110441,133.2048737,Route7
419.738,-25.2111171,133.2048823,Route7
420.187,-25.211296,133.2049033,Route7
420.384,-25.2113899,133.2049143,Route7
420.539,-25.2114748,133.2049243,Route7
420.686,-25.2115688,133.2049354,Route7
420.743,-25.2116116,133.2049404,Route7
420.791,-25.2116537,133.2049445,Route7
420.975,-25.2122292,133.205,Route7
419.559,-25.212599,133.2050234,Route7
417.974,-25.2129096,133.2050407,Route7
417.34,-25.213004,133.205046,Route7
416.758,-25.2130892,133.2050507,Route7
415.979,-25.2131973,133.2050567,Route7
415.684,-25.213822,133.2050865,Route7
417.997,-25.2141676,133.2050956,Route7
417.214,-25.214385,133.2051014,Route7
416.406,-25.2147071,133.2051033,Route7
415.641,-25.2149929,133.205105,Route7
414.911,-25.2154266,133.205105,Route7
414.508,-25.2156064,133.205105,Route7
414.005,-25.2158313,133.205105,Route7
413.867,-25.2159661,133.2051003,Route7
413.0,-25.2162889,133.2050889,Route7
412.342,-25.2170707,133.2050614,Route7
415.083,-25.2178423,133.2050265,Route7
411.771,-25.2189482,133.2049801,Route7
409.647,-25.2205623,133.2049042,Route7
412.118,-25.2213089,133.2048718,Route7
411.792,-25.2217058,133.2048544,Route7
409.991,-25.2225025,133.2048089,Route7
409.0,-25.2230461,133.2047865,Route7
411.065,-25.2239349,133.2047462,Route7
412.944,-25.2243062,133.2047334,Route7
413.976,-25.2244841,133.2047314,Route7
413.53,-25.224789,133.2047279,Route7
411.325,-25.2250926,133.2047246,Route7
408.566,-25.2263144,133.2047195,Route7
411.0,-25.2274119,133.2047464,Route7
410.698,-25.2286949,133.2048037,Route7
406.766,-25.229935,133.2048991,Route7
408.917,-25.2311042,133.2050161,Route7
409.446,-25.2314267,133.205058,Route7
409.695,-25.2327514,133.2052424,Route7
406.754,-25.2334342,133.2053462,Route7
406.6,-25.2337562,133.2053889,Route7
407.01,-25.234168,133.205456,Route7
408.973,-25.2344407,133.2055053,Route7
408.916,-25.2348738,133.2055773,Route7
409.94,-25.2357824,133.2057218,Route7
411.944,-25.2366793,133.2058615,Route7
412.313,-25.2367992,133.2058788,Route7
412.417,-25.2368332,133.2058839,Route7
412.542,-25.2368737,133.2058899,Route7
408.0,-25.23808,133.2060772,Route7
408.099,-25.2383464,133.2061185,Route7
409.256,-25.2396084,133.2063178,Route7
410.605,-25.2427079,133.2068246,Route7
411.807,-25.2430637,133.2068828,Route7
412.408,-25.2432072,133.2069062,Route7
412.793,-25.2433852,133.2069353,Route7
412.685,-25.2434196,133.2069409,Route7
411.503,-25.2440177,133.2070387,Route7
