ele,lat,lon,name
213.862,-29.0096838,134.7554816,Route8
213.862,-29.0096838,134.7554816,Route8
219.0,-29.0110279,134.7549485,Route8
219.668,-29.0112968,134.7548418,Route8
219.246,-29.0115793,134.7547499,Route8
220.986,-29.012228,134.7545912,Route8
222.332,-29.012395,134.7545511,Route8
222.348,-29.0123976,134.7545513,Route8
222.64,-29.0124404,134.7545383,Route8
223.014,-29.012504,134.7545251,Route8
223.239,-29.0125664,134.7545156,Route8
223.721,-29.0127003,134.754504,Route8
224.243,-29.012859,134.7544917,Route8
224.501,-29.012941,134.7544855,Route8
224.619,-29.0129785,134.7544841,Route8
224.949,-29.0130754,134.7544785,Route8
225.114,-29.0131499,134.754507,Route8
226.547,-29.013433,134.7544919,Route8
226.549,-29.013438,134.7545012,Route8
226.554,-29.013441,134.7545058,Route8
226.561,-29.0134441,134.7545102,Route8
226.569,-29.0134474,134.7545145,Route8
226.581,-29.013451,134.7545185,Route8
226.592,-29.0134546,134.7545224,Route8
226.607,-29.0134585,134.7545261,Route8
226.623,-29.0134624,134.7545295,Route8
226.641,-29.0134665,134.7545327,Route8
226.661,-29.0134708,134.7545358,Route8
226.682,-29.0134751,134.7545385,Route8
226.705,-29.0134796,134.7545411,Route8
226.73,-29.0134842,134.7545434,Route8
226.756,-29.0134888,134.7545454,Route8
226.784,-29.0134936,134.7545472,Route8
226.813,-29.0134984,134.7545488,Route8
226.843,-29.0135032,134.75455,Route8
226.874,-29.0135081,134.7545511,Route8
226.908,-29.0135131,134.7545518,Route8
226.942,-29.0135181,134.7545523,Route8
226.977,-29.013523,134.7545525,Route8
227.012,-29.0135279,134.7545525,Route8
227.049,-29.0135329,134.7545521,Route8
227.087,-29.0135379,134.7545515,Route8
227.126,-29.0135428,134.7545507,Route8
227.165,-29.0135477,134.7545496,Route8
227.205,-29.0135526,134.7545482,Route8
227.245,-29.0135573,134.7545465,Route8
227.286,-29.013562,134.7545446,Route8
227.327,-29.0135667,134.7545425,Route8
227.368,-29.0135712,134.7545401,Route8
227.409,-29.0135756,134.7545375,Route8
227.451,-29.0135799,134.7545346,Route8
227.508,-29.0135853,134.7545295,Route8
227.528,-29.0137092,134.7545756,Route8
