ele,lat,lon,name
145.0,-30.9696561,135.7503545,Route9
145.0,-30.9696561,135.7503545,Route9
145.0,-30.9696439,135.750329,Route9
144.93,-30.9695963,135.7502582,Route9
144.688,-30.9695482,135.7501911,Route9
144.501,-30.9695247,135.7501392,Route9
144.293,-30.9695105,135.7500813,Route9
143.935,-30.9695014,135.7499124,Route9
145.719,-30.9700778,135.7502773,Route9
145.3,-30.970348,135.7504312,Route9
144.986,-30.9705598,135.7505518,Route9
145.193,-30.9706737,135.7506092,Route9
145.454,-30.9708387,135.7506925,Route9
143.885,-30.9711689,135.7508591,Route9
144.605,-30.9717551,135.7511385,Route9
146.392,-30.9721427,135.7507812,Route9
144.237,-30.9724249,135.750521,Route9
144.238,-30.972566,135.7503909,Route9
144.807,-30.9727071,135.7502608,Route9
144.898,-30.9732754,135.7505397,Route9
146.872,-30.9735679,135.750688,Route9
145.465,-30.9747118,135.7512236,Route9
144.0,-30.9757133,135.7516925,Route9
144.0,-30.9760676,135.7518584,Route9
143.862,-30.9767183,135.7521512,Route9
143.056,-30.9771551,135.7523509,Route9
147.968,-30.9788979,135.7531124,Route9
147.821,-30.9789387,135.7531302,Route9
147.43,-30.9795677,135.7534161,Route9
146.559,-30.9800717,135.753632,Route9
146.808,-30.9807522,135.7539168,Route9
149.002,-30.9813595,135.754171,Route9
145.937,-30.9820891,135.7544619,Route9
148.0,-30.982802,135.7547504,Route9
148.23,-30.9836198,135.7550725,Route9
148.317,-30.9843356,135.7553492,Route9
148.042,-30.9851563,135.7556654,Route9
149.391,-30.985861,135.755942,Route9
150.314,-30.9865728,135.756245,Route9
149.0,-30.9870932,135.7564689,Route9
149.0,-30.9871961,135.7565132,Route9
150.22,-30.9879025,135.7568337,Route9
149.375,-30.9883905,135.7570757,Route9
149.355,-30.988887,135.7573201,Route9
149.534,-30.9893689,135.7575741,Route9
150.412,-30.9897761,135.7577887,Route9
151.944,-30.9902525,135.7580459,Route9
151.419,-30.9905558,135.758217,Route9
151.074,-30.990719,135.7583129,Route9
150.614,-30.9910222,135.7584911,Route9
149.08,-30.9913228,135.7586686,Route9
148.408,-30.9917145,135.7589066,Route9
151.989,-30.9920861,135.7591489,Route9
153.925,-30.9924651,135.7593954,Route9
152.672,-30.9928395,135.7596419,Route9
152.682,-30.9931847,135.7598874,Route9
152.516,-30.9935818,135.7601445,Route9
152.32,-30.9940409,135.7604739,Route9
152.429,-30.9943151,135.7606748,Route9
153.513,-30.9947806,135.7610137,Route9
152.077,-30.9952275,135.7613675,Route9
152.993,-30.9955753,135.7616391,Route9
154.0,-30.9962625,135.7622004,Route9
154.193,-30.9973968,135.7631765,Route9
