ele,lat,lon,name
38.688,-12.4660184,130.8427841,Route
38.688,-12.4660184,130.8427841,Route
36.326,-12.4658107,130.8425507,Route
36.905,-12.4657705,130.8425191,Route
37.471,-12.4657315,130.842498,Route
38.025,-12.4656939,130.8424906,Route
40.021,-12.4655495,130.8424883,Route
40.017,-12.4655507,130.8425367,Route
40.035,-12.4655458,130.8425684,Route
40.068,-12.4655367,130.842598,Route
40.116,-12.4655233,130.8426266,Route
40.215,-12.4654958,130.8426722,Route
40.329,-12.4654641,130.8427108,Route
40.457,-12.4654285,130.8427624,Route
40.573,-12.4653909,130.8427913,Route
40.896,-12.4652989,130.8428817,Route
39.141,-12.4647732,130.843397,Route
39.051,-12.4647434,130.8434251,Route
37.385,-12.4643751,130.8437874,Route
37.332,-12.464261,130.8438949,Route
37.188,-12.4642275,130.8439286,Route
37.291,-12.4640655,130.8440926,Route
36.143,-12.4638709,130.8442954,Route
35.314,-12.4637562,130.8444149,Route
34.892,-12.4637126,130.8444617,Route
34.589,-12.4636196,130.8445521,Route
33.915,-12.4635288,130.8446389,Route
33.625,-12.4634844,130.8446807,Route
33.4,-12.4633258,130.8448378,Route
33.165,-12.4630421,130.8451188,Route
32.157,-12.4628311,130.8453278,Route
30.495,-12.4626805,130.8454031,Route
28.806,-12.4626023,130.8454813,Route
28.041,-12.4625691,130.8455178,Route
26.678,-12.4625074,130.8455765,Route
24.7,-12.4624208,130.845664,Route
21.936,-12.4622499,130.8458393,Route
21.341,-12.4621927,130.8459018,Route
19.74,-12.4620313,130.8460554,Route
18.949,-12.4619572,130.8461161,Route
18.581,-12.4617756,130.846237,Route
18.798,-12.4615854,130.8463378,Route
20.11,-12.4614051,130.8464258,Route
20.537,-12.4608635,130.8467056,Route
19.934,-12.4607869,130.8467369,Route
19.518,-12.4606951,130.846764,Route
19.446,-12.4606781,130.8467691,Route
19.188,-12.4606102,130.8467892,Route
18.793,-12.4605233,130.8468108,Route
18.642,-12.460506,130.8468151,Route
17.591,-12.4603788,130.8468467,Route
16.355,-12.4601754,130.8468877,Route
16.102,-12.4601286,130.8468971,Route
15.208,-12.4597446,130.8469361,Route
15.953,-12.4594066,130.8469478,Route
15.671,-12.4591043,130.8469257,Route
13.402,-12.458831,130.8468903,Route
12.166,-12.4587351,130.8468764,Route
10.505,-12.4585112,130.8468244,Route
10.233,-12.4583262,130.8467696,Route
10.098,-12.4581301,130.8466903,Route
10.981,-12.4577946,130.8465724,Route
10.895,-12.4577485,130.8465523,Route
9.989,-12.4574258,130.8463944,Route
9.961,-12.4572115,130.8462446,Route
9.287,-12.4569821,130.8460533,Route
9.514,-12.4569117,130.8459833,Route
10.063,-12.4568299,130.8459021,Route
10.293,-12.4568016,130.845874,Route
10.751,-12.456745,130.845801,Route
10.996,-12.4566656,130.8456985,Route
10.666,-12.4565735,130.8455553,Route
10.786,-12.4565133,130.8454617,Route
10.453,-12.4563105,130.8451518,Route
10.028,-12.4562455,130.8450775,Route
9.704,-12.4561754,130.844999,Route
