ele,lat,lon,name
232.565,-16.6795654,133.4123969,Route
232.565,-16.6795654,133.4123969,Route
231.53,-16.6798725,133.4125363,Route
230.524,-16.6801885,133.4125336,Route
230.796,-16.6803884,133.4124,Route
231.583,-16.6804976,133.4124377,Route
232.0,-16.6806108,133.4124512,Route
232.0,-16.6806768,133.4124467,Route
232.0,-16.6807327,133.4124347,Route
232.0,-16.6808314,133.4124014,Route
229.497,-16.6810266,133.4123342,Route
228.012,-16.6813843,133.412419,Route
229.806,-16.6819719,133.412554,Route
229.666,-16.6821388,133.4125927,Route
231.355,-16.6865655,133.4134687,Route
232.0,-16.6873346,133.4136209,Route
231.657,-16.6876258,133.4136785,Route
233.308,-16.6905237,133.4142521,Route
229.642,-16.6935219,133.4148464,Route
229.0,-16.6938808,133.4149193,Route
230.624,-16.6940574,133.4149552,Route
232.178,-16.6942339,133.4149911,Route
232.927,-16.6947424,133.4150944,Route
235.0,-16.698002,133.4157272,Route
233.229,-16.7005972,133.4162418,Route
235.975,-16.701304,133.4163819,Route
235.804,-16.7014807,133.416417,Route
235.48,-16.7016575,133.416452,Route
237.145,-16.707312,133.4175733,Route
237.943,-16.7074887,133.4176083,Route
238.0,-16.7076654,133.4176433,Route
237.192,-16.709363,133.41798,Route
232.038,-16.7126863,133.4186429,Route
232.0,-16.7127828,133.4186587,Route
231.812,-16.7134963,133.4188017,Route
231.963,-16.7136729,133.4188371,Route
233.504,-16.7142028,133.4189433,Route
233.353,-16.7153907,133.4191815,Route
229.257,-16.7178101,133.4196583,Route
229.09,-16.718057,133.4197112,Route
231.89,-16.7194356,133.4199684,Route
232.741,-16.7204501,133.420162,Route
230.634,-16.7213196,133.4203278,Route
231.876,-16.7224651,133.4205514,Route
229.945,-16.7235552,133.4207572,Route
227.852,-16.7258014,133.4211821,Route
229.7,-16.7265817,133.4213047,Route
229.192,-16.7277235,133.4215225,Route
227.912,-16.7335473,133.4226145,Route
229.124,-16.7347568,133.4228403,Route
228.883,-16.7366809,133.4232074,Route
226.511,-16.7390123,133.4236527,Route
228.276,-16.7394053,133.423727,Route
226.878,-16.7417061,133.4241619,Route
225.675,-16.7422371,133.4242622,Route
226.796,-16.742721,133.4243537,Route
226.327,-16.7479348,133.4253158,Route
228.0,-16.7493494,133.4255522,Route
228.0,-16.7500304,133.4256763,Route
228.68,-16.7542955,133.4264779,Route
230.983,-16.7553437,133.426662,Route
228.675,-16.757132,133.4270105,Route
