ele,lat,lon,name
360.637,-19.6661927,134.1845452,Route4
360.637,-19.6661927,134.1845452,Route4
360.908,-19.6664516,134.1844652,Route4
360.351,-19.6669146,134.1843769,Route4
359.745,-19.6675148,134.184123,Route4
357.336,-19.6679621,134.1839793,Route4
357.868,-19.6683995,134.1838706,Route4
357.407,-19.6704972,134.1831901,Route4
353.66,-19.67435,134.1819197,Route4
354.915,-19.6749382,134.1817734,Route4
353.023,-19.6778305,134.180799,Route4
353.674,-19.6781011,134.1807116,Route4
354.376,-19.6787881,134.1805537,Route4
354.366,-19.6787965,134.1805509,Route4
353.471,-19.6792595,134.1803934,Route4
352.378,-19.6802255,134.1800649,Route4
354.405,-19.6819753,134.1794699,Route4
354.675,-19.6820234,134.1794592,Route4
354.826,-19.685197,134.1784954,Route4
354.287,-19.6862436,134.1780999,Route4
353.945,-19.6890024,134.1772376,Route4
354.853,-19.6895743,134.177032,Route4
352.551,-19.6899482,134.1769314,Route4
351.309,-19.690192,134.1768534,Route4
351.154,-19.6903205,134.1768241,Route4
351.524,-19.6904234,134.1768086,Route4
352.056,-19.6908564,134.1767563,Route4
352.818,-19.6911241,134.1767334,Route4
353.951,-19.6916802,134.1767082,Route4
353.0,-19.6919909,134.1767151,Route4
353.0,-19.6921632,134.1767132,Route4
353.093,-19.6925805,134.1767282,Route4
351.933,-19.6929767,134.176764,Route4
352.0,-19.6934865,134.1767992,Route4
352.0,-19.693499,134.1768018,Route4
351.81,-19.6938861,134.1768911,Route4
352.11,-19.6942951,134.1770011,Route4
351.85,-19.6949582,134.1772378,Route4
351.888,-19.6955337,134.1774662,Route4
351.873,-19.6978419,134.1784582,Route4
352.714,-19.6993791,134.1790337,Route4
352.306,-19.6994717,134.1790723,Route4
349.948,-19.7017467,134.1800655,Route4
351.709,-19.7022765,134.1802613,Route4
351.68,-19.7034222,134.1806848,Route4
349.324,-19.7084447,134.1827626,Route4
349.355,-19.7084502,134.1827649,Route4
350.223,-19.7086177,134.1828346,Route4
350.797,-19.7087852,134.1829043,Route4
351.814,-19.7091149,134.1830415,Route4
351.799,-19.7092825,134.1831113,Route4
352.767,-19.7114737,134.1839819,Route4
352.947,-19.7116413,134.1840515,Route4
352.954,-19.7116451,134.1840531,Route4
352.474,-19.7118129,134.1841221,Route4
350.0,-19.7203663,134.187645,Route4
348.231,-19.7219087,134.1882949,Route4
350.622,-19.7280322,134.1907575,Route4
350.213,-19.7284673,134.1909605,Route4
348.977,-19.7287539,134.1910611,Route4
348.082,-19.7289849,134.191134,Route4
348.45,-19.7292167,134.1911862,Route4
349.484,-19.7294491,134.1912431,Route4
350.0,-19.7297331,134.1913436,Route4
349.628,-19.7300611,134.1914159,Route4
348.466,-19.7303644,134.1914687,Route4
347.606,-19.7305167,134.1914942,Route4
345.974,-19.730724,134.1915209,Route4
345.007,-19.7308354,134.1915373,Route4
345.613,-19.7310036,134.1915565,Route4
347.017,-19.7312524,134.1915772,Route4
348.155,-19.731881,134.1916403,Route4
347.122,-19.7324901,134.1916906,Route4
