ele,lat,lon,name
113.074,-14.481646,132.325427,Route
113.074,-14.481646,132.325427,Route
113.0,-14.4816709,132.3255243,Route
113.645,-14.4817426,132.3258021,Route
113.348,-14.481811,132.3259101,Route
113.085,-14.4819633,132.3260414,Route
113.499,-14.4820859,132.3261169,Route
113.627,-14.4822113,132.3262075,Route
113.253,-14.4823738,132.3263185,Route
114.418,-14.4824945,132.3267827,Route
116.195,-14.4828446,132.3280658,Route
113.312,-14.4830024,132.3288554,Route
113.676,-14.483249,132.329887,Route
114.657,-14.4833962,132.3304881,Route
114.923,-14.4836379,132.3314439,Route
114.908,-14.483712,132.3317369,Route
115.841,-14.4838975,132.3324722,Route
115.844,-14.4839105,132.3326315,Route
115.499,-14.4839886,132.3329455,Route
117.581,-14.4843326,132.3343281,Route
118.95,-14.4844307,132.3347082,Route
118.78,-14.4845176,132.335061,Route
118.24,-14.4846219,132.3354621,Route
119.737,-14.4847301,132.3359084,Route
119.314,-14.4847662,132.3360598,Route
117.73,-14.4848813,132.3365902,Route
119.147,-14.4849576,132.3370083,Route
119.142,-14.4850555,132.3369936,Route
119.301,-14.4853649,132.3369556,Route
120.974,-14.4858791,132.3369011,Route
120.924,-14.4860663,132.3369193,Route
120.999,-14.4863204,132.3369441,Route
121.997,-14.4866657,132.3370477,Route
118.882,-14.4871166,132.3372765,Route
117.565,-14.4875141,132.3376207,Route
115.577,-14.4877894,132.3379796,Route
115.085,-14.4887623,132.339674,Route
119.262,-14.4903187,132.3423569,Route
122.0,-14.4908338,132.3432239,Route
122.984,-14.491653,132.3446336,Route
122.555,-14.4917598,132.3448153,Route
122.404,-14.4918531,132.3449741,Route
122.522,-14.4919465,132.3451329,Route
121.92,-14.4920624,132.3453302,Route
120.523,-14.4923714,132.3458501,Route
120.638,-14.4924151,132.3459257,Route
120.88,-14.4925073,132.3460852,Route
122.731,-14.4930914,132.3470953,Route
121.983,-14.493155,132.3472003,Route
120.044,-14.4934261,132.3476482,Route
122.058,-14.4940782,132.3487828,Route
123.0,-14.4943068,132.3492429,Route
121.702,-14.4946261,132.3497356,Route
122.666,-14.4947263,132.3499073,Route
123.311,-14.4948191,132.3500664,Route
122.949,-14.4950047,132.3503848,Route
121.018,-14.495244,132.3507952,Route
122.153,-14.4958068,132.351776,Route
122.643,-14.4968452,132.3535465,Route
122.689,-14.496858,132.3535692,Route
122.068,-14.4966025,132.3536299,Route
122.315,-14.4963795,132.3537016,Route
120.11,-14.4958198,132.3538718,Route
120.754,-14.4956472,132.3539242,Route
120.853,-14.495616,132.3539337,Route
121.246,-14.4949051,132.3540984,Route
121.069,-14.4947753,132.3541474,Route
121.096,-14.4943867,132.3542943,Route
123.176,-14.4938429,132.3544478,Route
124.0,-14.4934929,132.3545889,Route
123.98,-14.4933278,132.3546862,Route
123.247,-14.4931661,132.3548273,Route
122.93,-14.493036,132.3549746,Route
122.866,-14.4930185,132.3550004,Route
122.501,-14.4929149,132.3551533,Route
123.753,-14.4926866,132.3556735,Route
125.363,-14.492578,132.3560122,Route
125.944,-14.4925215,132.3561886,Route
125.915,-14.4924764,132.356329,Route
125.868,-14.4924634,132.3563644,Route
122.568,-14.4922058,132.3570645,Route
122.418,-14.4921102,132.3574166,Route
123.286,-14.4920451,132.3576566,Route
126.0,-14.4918674,132.3580824,Route
126.0,-14.4917816,132.3582794,Route
125.679,-14.4917117,132.3584398,Route
125.646,-14.4917076,132.3584486,Route
125.133,-14.491629,132.3586158,Route
124.937,-14.4914736,132.3589466,Route
125.112,-14.4912682,132.3592562,Route
125.055,-14.4912368,132.3593035,Route
127.729,-14.4907991,132.3599532,Route
127.385,-14.4906625,132.3601404,Route
127.326,-14.4906461,132.3601668,Route
126.907,-14.4905297,132.3603542,Route
126.351,-14.4903754,132.3606,Route
125.943,-14.4901984,132.3608969,Route
126.155,-14.4900875,132.3610667,Route
126.391,-14.4899366,132.3612518,Route
126.31,-14.4898137,132.3613725,Route
126.104,-14.4897468,132.3614382,Route
126.262,-14.4896495,132.3615263,Route
126.842,-14.4893924,132.3617109,Route
128.102,-14.4889869,132.3620211,Route
129.646,-14.4887673,132.3621731,Route
128.808,-14.4885007,132.362311,Route
127.098,-14.488222,132.3624318,Route
129.273,-14.487816,132.3626205,Route
130.138,-14.4874925,132.3627544,Route
129.866,-14.4870205,132.3629497,Route
127.504,-14.4864348,132.3631933,Route
126.0,-14.485978,132.3633421,Route
126.0,-14.4859484,132.3633518,Route
126.931,-14.4856287,132.3634066,Route
129.107,-14.485309,132.3634254,Route
129.439,-14.4850167,132.3634552,Route
129.596,-14.4847304,132.363499,Route
130.594,-14.484514,132.3635679,Route
130.907,-14.4842929,132.3636682,Route
131.293,-14.4840854,132.3638161,Route
131.44,-14.4840445,132.3638453,Route
131.426,-14.4838048,132.3640482,Route
131.363,-14.4837841,132.3640657,Route
131.014,-14.4836633,132.3641629,Route
130.603,-14.4835213,132.364277,Route
130.447,-14.4834675,132.3643203,Route
130.132,-14.4830254,132.3646855,Route
129.151,-14.4826679,132.364958,Route
129.0,-14.4825169,132.3650599,Route
129.619,-14.482382,132.3651508,Route
130.157,-14.4822169,132.3652386,Route
130.419,-14.4821002,132.3652903,Route
130.749,-14.4819517,132.365342,Route
130.974,-14.481682,132.3654111,Route
131.273,-14.4812079,132.3654957,Route
132.72,-14.4808593,132.365527,Route
133.03,-14.4808002,132.3655308,Route
133.854,-14.4805216,132.365549,Route
132.886,-14.4802639,132.3655379,Route
131.611,-14.479976,132.365483,Route
130.749,-14.4796734,132.3653624,Route
130.933,-14.4795786,132.3653161,Route
132.744,-14.4789599,132.3650145,Route
134.489,-14.4784248,132.3647973,Route
132.602,-14.4778327,132.3645568,Route
132.718,-14.4775848,132.3644659,Route
133.269,-14.4770681,132.3642765,Route
134.083,-14.4766435,132.3641516,Route
132.464,-14.4767771,132.3646916,Route
135.48,-14.4769551,132.3654115,Route
134.362,-14.4770167,132.3656604,Route
133.506,-14.4771466,132.3663497,Route
