Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
18/09:40:31,0,2.51,112.31,0.011,21.63,0,3
18/09:40:31,0,2.51,112.3,0.022,21.63,0,4
18/09:40:31,0,2.51,112.3,0.011,21.63,0,5
18/09:40:32,0,2.5,112.3,0.011,21.63,0,6
18/09:40:32,0,2.5,112.31,0.011,21.63,0,7
18/09:40:33,0,2.49,112.31,0.011,21.63,0,8
18/09:40:33,0,2.5,112.32,0.0,21.63,0,9
18/09:40:33,0,2.5,112.32,0.011,21.63,0,10
18/09:40:34,0,2.5,112.32,0.011,21.63,0,11
18/09:40:34,0,2.51,112.32,0.022,21.63,0,12
18/09:40:34,0,2.51,112.32,0.011,21.63,0,13
18/09:40:35,0,2.51,112.32,0.022,21.63,0,14
18/09:40:35,0,2.52,112.31,0.022,21.63,0,15
18/09:40:35,0,2.51,112.32,0.022,21.63,0,16
18/09:40:36,0,2.51,112.3,0.022,21.63,0,17
18/09:40:36,0,2.51,112.31,0.011,21.63,0,18
18/09:40:37,0,2.51,112.31,0.011,21.63,0,19
18/09:40:37,0,2.51,112.3,0.011,21.63,0,20
18/09:40:38,0,2.52,112.3,0.011,21.63,0,21
18/09:40:38,0,2.52,112.31,0.011,21.63,0,22
18/09:40:40,0,2.55,112.32,0.033,21.63,0,23
18/09:40:40,0,2.55,112.32,0.022,21.63,0,24
18/09:40:41,0,2.53,112.32,0.011,21.63,0,25
18/09:40:41,0,2.49,112.32,0.011,21.64,0,26
18/09:40:42,0,2.46,112.32,0.0,21.64,0,27
18/09:40:43,0,2.43,112.31,0.0,21.64,0,28
18/09:40:43,0,2.38,112.31,0.0,21.64,0,29
18/09:40:43,0,2.32,112.31,0.0,21.64,0,30
18/09:40:44,0,2.27,112.28,0.0,21.64,0,31
18/09:40:45,0,2.24,112.28,0.011,21.64,0,32
18/09:40:45,0,2.23,112.3,0.011,21.64,0,33
18/09:40:47,0,2.23,112.28,0.011,21.64,0,34
