Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:52:06,0.49,2.62,117.86,0.022,35.07,0.0,96
14/08:52:07,0.49,2.6,117.86,0.022,35.07,0.0,97
14/08:52:07,0.49,2.59,117.85,0.011,35.07,0.0,98
14/08:52:08,0.49,2.59,117.86,0.033,35.07,0.0,99
14/08:52:08,0.49,2.57,117.86,0.022,35.07,0.0,100
14/08:52:09,0.49,2.57,117.86,0.022,35.07,0.0,101
14/08:52:10,0.49,2.57,117.87,0.022,35.07,0.0,102
14/08:52:10,0.49,2.57,117.86,0.011,35.07,0.0,103
14/08:52:11,0.49,2.57,117.86,0.011,35.07,0.0,104
14/08:52:11,0.49,2.57,117.87,0.022,35.07,0.0,105
14/08:52:12,0.49,2.57,117.87,0.022,35.07,0.0,106
14/08:52:13,0.49,2.57,117.88,0.011,35.07,0.0,107
14/08:52:13,0.48,2.57,117.87,0.022,35.07,0.0,108
14/08:52:14,0.48,2.57,117.86,0.022,35.07,0.0,109
14/08:52:14,0.48,2.59,117.87,0.011,35.08,0.0,110
14/08:52:15,0.48,2.6,117.87,0.011,35.08,0.0,111
14/08:52:16,0.49,2.6,117.86,0.022,35.08,0.0,112
14/08:52:16,0.49,2.6,117.86,0.011,35.08,0.0,113
14/08:52:17,0.49,2.61,117.87,0.011,35.08,0.0,114
14/08:52:17,0.49,2.61,117.87,0.011,35.08,0.0,115
14/08:52:18,0.49,2.61,117.86,0.022,35.08,0.0,116
14/08:52:18,0.49,2.61,117.87,0.022,35.08,0.0,117
14/08:52:19,0.49,2.61,117.87,0.022,35.08,0.0,118
14/08:52:19,0.5,2.6,117.87,0.011,35.08,0.0,119
14/08:52:20,0.49,2.6,117.88,0.011,35.08,0.0,120
14/08:52:21,0.49,2.61,117.89,0.011,35.08,0.0,121
14/08:52:21,0.5,2.63,117.89,0.011,35.08,0.0,122
14/08:52:22,0.5,2.67,117.89,0.011,35.08,0.0,123
14/08:52:22,0.5,2.68,117.89,0.0,35.08,0.0,124
14/08:52:23,0.5,2.7,117.88,0.011,35.08,0.0,125
14/08:52:23,0.49,2.72,117.88,0.011,35.08,0.0,126
14/08:52:24,0.5,2.74,117.87,0.011,35.08,0.0,127
14/08:52:25,0.49,2.75,117.86,0.011,35.08,0.0,128
14/08:52:25,0.49,2.74,117.87,0.033,35.08,0.0,129
14/08:52:26,0.49,2.71,117.86,0.044,35.08,0.0,130
14/08:52:26,0.49,2.69,117.85,0.033,35.08,0.0,131
14/08:52:26,0.49,2.67,117.85,0.022,35.08,0.0,132
14/08:52:28,0.49,2.63,117.85,0.011,35.08,0.0,133
14/08:52:28,0.49,2.6,117.84,0.011,35.08,0.0,134
14/08:52:29,0.49,2.57,117.84,0.022,35.08,0.0,135
14/08:52:29,0.49,2.55,117.83,0.022,35.08,0.0,136
14/08:52:30,0.49,2.54,117.83,0.022,35.08,0.0,137
14/08:52:31,0.49,2.52,117.84,0.011,35.08,0.0,138
14/08:52:31,0.49,2.51,117.84,0.022,35.08,0.0,139
14/08:52:33,0.49,2.5,117.85,0.011,35.09,0.0,140
14/08:52:33,0.49,2.49,117.85,0.011,35.09,0.0,141
14/08:52:34,0.49,2.49,117.85,0.0,35.09,0.0,142
14/08:52:34,0.49,2.5,117.84,0.011,35.09,0.0,143
14/08:52:35,0.49,2.5,117.84,0.011,35.09,0.0,144
14/08:52:36,0.49,2.51,117.84,0.011,35.09,0.0,145
14/08:52:36,0.49,2.56,117.86,0.011,35.09,0.0,146
14/08:52:38,0.49,2.69,117.87,0.022,35.09,0.0,147
14/08:52:39,0.49,2.76,117.88,0.011,35.09,0.0,148
14/08:52:40,0.49,2.79,117.88,0.011,35.09,0.0,149
14/08:52:40,0.49,2.79,117.87,0.055,111.17,0.0,150
14/08:52:41,0.5,2.78,85.87,0.022,35.09,0.0,151
14/08:52:42,0.5,2.73,117.87,0.011,35.09,0.0,152
14/08:52:43,0.5,2.73,117.87,0.011,35.09,0.0,153
14/08:52:44,0.49,2.75,117.86,0.011,35.09,0.0,154
14/08:52:45,0.49,2.76,117.87,0.0,35.09,0.0,155
14/08:52:45,0.49,2.78,117.87,0.011,35.09,0.0,156
14/08:52:46,0.48,2.8,117.88,0.011,35.09,0.0,157
14/08:52:46,0.49,2.81,117.88,0.011,35.09,0.0,158
14/08:52:47,0.48,2.81,117.87,0.011,35.09,0.0,159
14/08:52:47,0.48,2.82,117.87,0.011,35.09,0.0,160
14/08:52:47,0.48,2.83,117.88,0.011,35.09,0.0,161
14/08:52:48,0.48,2.85,117.88,0.022,35.09,0.0,162
14/08:52:49,0.49,2.88,117.89,0.022,35.1,0.0,163
14/08:52:49,0.49,2.93,117.89,0.011,35.1,0.0,164
14/08:52:50,0.49,3.01,117.9,0.011,35.1,0.0,165
14/08:52:51,0.49,3.1,117.91,0.011,35.1,0.0,166
14/08:52:51,0.49,3.33,117.95,0.011,35.1,0.0,167
14/08:52:52,0.5,3.45,117.95,0.011,35.1,0.0,168
14/08:52:52,0.49,3.57,117.96,0.011,35.1,0.0,169
14/08:52:53,0.49,3.7,117.99,0.0,35.1,0.0,170
14/08:52:54,0.49,3.78,117.99,0.0,35.1,0.0,171
14/08:52:54,0.5,3.86,117.99,0.011,35.1,0.0,172
14/08:52:55,0.49,3.9,118.0,0.022,35.1,0.0,173
14/08:52:55,0.5,3.92,117.99,0.0,35.1,0.0,174
14/08:52:55,0.49,3.91,118.0,0.011,35.1,0.0,175
14/08:52:56,0.49,3.9,117.99,0.022,35.1,0.0,176
14/08:52:57,0.49,3.87,117.98,0.022,35.1,0.0,177
14/08:52:57,0.49,3.84,117.97,0.011,35.1,0.0,178
14/08:52:57,0.49,3.77,117.97,0.022,35.1,0.0,179
