Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/09:56:57,1.11,3.98,115.13,75.009,30.77,70.125,3
14/09:56:57,3.26,4.0,114.98,75.053,30.77,70.136,4
14/09:56:58,5.26,4.03,114.81,75.383,30.77,70.147,5
14/09:56:58,7.01,3.8,114.85,76.175,30.77,70.158,6
14/09:56:58,8.74,3.55,114.94,76.923,30.77,70.169,7
14/09:56:59,10.79,3.22,115.02,77.462,30.77,70.18,8
14/09:56:59,12.56,2.93,115.09,77.726,30.76,70.191,9
14/09:56:59,15.17,2.42,115.18,78.331,30.76,70.213,10
14/09:57:00,14.99,2.41,115.15,78.199,30.76,70.224,11
14/09:57:00,15.08,2.59,115.02,78.144,30.76,70.235,12
14/09:57:00,16.18,3.12,114.43,78.903,30.75,70.257,13
14/09:57:01,16.56,3.42,114.1,79.409,30.75,70.268,14
14/09:57:02,18.01,4.01,113.43,80.289,30.75,70.29,15
14/09:57:03,18.42,4.08,113.34,80.718,30.75,70.301,16
14/09:57:03,18.84,4.12,113.31,81.015,30.74,70.312,17
14/09:57:04,19.31,4.15,113.23,81.631,30.74,70.345,18
14/09:57:05,19.39,4.14,113.24,81.961,30.74,70.356,19
14/09:57:05,19.47,4.17,113.23,82.324,30.73,70.367,20
14/09:57:06,19.51,4.19,113.23,82.885,30.73,70.389,21
14/09:57:07,19.56,4.18,113.22,83.16,30.73,70.4,22
14/09:57:07,19.56,4.17,113.19,83.512,30.73,70.411,23
14/09:57:08,19.51,4.16,113.19,83.798,30.72,70.422,24
14/09:57:09,19.59,4.14,113.14,84.491,30.72,70.444,25
14/09:57:09,19.05,4.18,113.17,84.755,30.72,70.455,26
14/09:57:10,16.87,4.19,113.34,84.766,30.71,70.477,27
14/09:57:10,14.33,4.21,113.55,84.48,30.71,70.488,28
14/09:57:11,11.57,4.18,113.83,84.062,30.71,70.499,29
14/09:57:11,9.23,4.19,114.05,83.765,30.71,70.51,30
14/09:57:12,6.7,4.18,114.28,83.446,30.71,70.521,31
