Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
18/12:46:12,0.03,2.42,105.76,0.033,10.31,0.0,3
18/12:46:12,0.03,2.49,105.77,0.022,10.31,0.0,4
18/12:46:12,0.03,2.55,105.78,0.0,10.32,0.0,5
18/12:46:13,0.03,2.61,105.8,0.0,10.32,0.0,6
18/12:46:14,0.03,2.72,105.81,0.022,10.32,0.0,7
18/12:46:14,0.03,2.78,105.82,0.022,10.32,0.0,8
18/12:46:15,0.03,2.79,105.83,0.0,10.32,0.0,9
18/12:46:15,0.03,2.81,105.83,0.011,10.32,0.0,10
18/12:46:16,0.03,2.83,105.84,0.011,10.32,0.0,11
18/12:46:17,0.03,2.85,105.83,0.022,10.32,0.0,12
18/12:46:17,0.03,2.88,105.84,0.011,10.32,0.0,13
18/12:46:18,0.03,2.86,105.83,0.011,10.32,0.0,14
18/12:46:18,0.03,2.87,105.84,0.022,10.32,0.0,15
18/12:46:19,0.03,2.88,105.84,0.022,10.32,0.0,16
18/12:46:20,0.03,2.88,105.84,0.022,10.32,0.0,17
18/12:46:20,0.03,2.86,105.83,0.011,10.32,0.0,18
18/12:46:21,0.03,2.86,105.83,0.0,10.32,0.0,19
18/12:46:21,0.03,2.87,105.84,0.011,10.32,0.0,20
18/12:46:22,0.03,2.91,105.84,0.011,10.32,0.0,21
18/12:46:23,0.03,2.91,105.83,0.011,10.32,0.0,22
18/12:46:23,0.03,2.92,105.84,0.022,10.32,0.0,23
18/12:46:24,0.03,2.95,105.84,0.022,10.32,0.0,24
18/12:46:24,0.03,2.96,105.85,0.011,10.32,0.0,25
18/12:46:24,0.03,2.98,105.86,0.011,10.32,0.0,26
18/12:46:25,0.03,2.98,105.86,0.011,10.32,0.0,27
18/12:46:26,0.03,2.98,105.86,0.022,10.33,0.0,28
18/12:46:26,0.03,2.98,105.86,0.033,10.33,0.0,29
18/12:46:27,0.03,2.98,105.85,0.033,10.33,0.0,30
18/12:46:27,0.03,2.98,105.85,0.011,10.33,0.0,31
18/12:46:28,0.03,2.97,105.85,0.0,10.33,0.0,32
18/12:46:28,0.03,2.96,105.85,0.011,10.33,0.0,33
18/12:46:29,0.03,2.96,105.85,0.011,10.33,0.0,34
18/12:46:29,0.03,2.97,105.85,0.011,10.33,0.0,35
18/12:46:30,0.03,2.97,105.85,0.022,10.33,0.0,36
18/12:46:31,0.03,2.97,105.85,0.0,10.33,0.0,37
18/12:46:31,0.03,2.97,105.85,0.011,10.33,0.0,38
18/12:46:32,0.04,2.97,105.86,0.011,10.33,0.0,39
18/12:46:32,0.03,2.95,105.85,0.011,10.33,0.0,40
18/12:46:33,0.03,2.91,105.85,0.011,10.33,0.0,41
18/12:46:34,0.03,2.85,105.85,0.022,10.33,0.0,42
18/12:46:34,0.03,2.81,105.85,0.033,10.33,0.0,43
18/12:46:35,0.03,2.77,105.85,0.022,10.33,0.0,44
18/12:46:36,0.03,2.76,105.85,0.011,10.33,0.0,45
18/12:46:36,0.03,2.76,105.85,0.011,10.33,0.0,46
18/12:46:37,0.03,2.79,105.85,0.033,10.33,0.0,47
18/12:46:37,0.03,2.85,105.86,0.022,10.33,0.0,48
18/12:46:38,0.03,2.9,105.86,0.011,10.33,0.0,49
18/12:46:38,0.03,2.94,105.86,0.011,10.34,0.0,50
18/12:46:39,0.03,2.98,105.86,0.022,10.34,0.0,51
18/12:46:39,0.03,2.98,105.86,0.022,10.34,0.0,52
18/12:46:40,0.03,3.0,105.87,0.022,10.34,0.0,53
18/12:46:40,0.03,3.02,105.86,0.022,10.34,0.0,54
18/12:46:41,0.03,3.05,105.86,0.033,10.34,0.0,55
18/12:46:41,0.03,3.08,105.87,0.033,10.34,0.0,56
18/12:46:42,0.03,3.13,105.87,0.033,10.34,0.0,57
18/12:46:43,0.03,3.26,105.89,0.022,10.34,0.0,58
18/12:46:44,0.03,3.34,105.9,0.011,10.34,0.0,59
18/12:46:44,0.03,3.43,105.91,0.011,10.34,0.0,60
18/12:46:45,0.03,3.49,105.92,0.022,10.34,0.0,61
18/12:46:45,0.03,3.56,105.93,0.022,10.34,0.0,62
18/12:46:45,0.03,3.63,105.94,0.0,10.34,0.0,63
18/12:46:46,0.03,3.71,105.95,0.011,10.34,0.0,64
18/12:46:47,0.03,3.78,105.95,0.011,10.34,0.0,65
18/12:46:47,0.03,3.83,105.96,0.022,10.34,0.0,66
18/12:46:48,0.02,3.86,105.96,0.022,10.34,0.0,67
18/12:46:48,0.03,3.88,105.97,0.011,10.34,0.0,68
18/12:46:49,0.03,3.9,105.98,0.011,10.35,0.0,69
18/12:46:50,0.03,3.9,105.98,0.011,10.35,0.0,70
18/12:46:50,0.02,3.86,105.98,0.011,10.35,0.0,71
18/12:46:51,0.02,3.81,105.98,0.022,10.35,0.0,72
18/12:46:51,0.02,3.74,105.97,0.011,10.35,0.0,73
18/12:46:53,0.02,3.62,105.95,0.011,10.35,0.0,74
18/12:46:53,0.03,3.56,105.95,0.0,10.35,0.0,75
18/12:46:53,0.02,3.51,105.94,0.0,10.35,0.0,76
18/12:46:54,0.02,3.47,105.94,0.011,10.35,0.0,77
18/12:46:55,0.02,3.44,105.93,0.011,10.35,0.0,78
18/12:46:55,0.02,3.42,105.92,0.011,10.35,0.0,79
18/12:46:56,0.02,3.42,105.93,0.022,10.35,0.0,80
18/12:46:56,0.03,3.42,105.93,0.022,10.35,0.0,81
18/12:46:57,0.03,3.44,105.93,0.011,10.35,0.0,82
18/12:46:57,0.03,3.44,105.93,0.011,10.35,0.0,83
18/12:46:58,0.03,3.41,105.92,0.022,10.35,0.0,84
18/12:46:59,0.03,3.4,105.92,0.011,10.35,0.0,85
18/12:46:59,0.03,3.4,105.93,0.0,10.35,0.0,86
18/12:47:00,0.03,3.4,105.93,0.011,10.36,0.0,87
18/12:47:01,0.02,3.41,105.93,0.011,10.36,0.0,88
18/12:47:01,0.03,3.44,105.94,0.022,10.36,0.0,89
18/12:47:02,0.03,3.45,105.93,0.033,10.36,0.0,90
18/12:47:02,0.03,3.45,105.93,0.033,10.36,0.0,91
18/12:47:03,0.03,3.46,105.93,0.033,10.36,0.0,92
18/12:47:04,0.02,3.46,105.94,0.022,10.36,0.0,93
18/12:47:04,0.02,3.46,105.93,0.011,10.36,0.0,94
18/12:47:04,0.02,3.45,105.93,0.011,10.36,0.0,95
18/12:47:05,0.02,3.45,105.94,0.022,10.36,0.0,96
18/12:47:06,0.02,3.45,105.94,0.022,10.36,0.0,97
18/12:47:06,0.02,3.42,105.94,0.022,10.36,0.0,98
18/12:47:06,0.02,3.37,105.95,0.011,10.36,0.0,99
18/12:47:07,0.03,3.32,105.94,0.011,10.36,0.0,100
18/12:47:08,0.03,3.21,105.93,0.022,10.36,0.0,101
18/12:47:09,0.03,3.15,105.93,0.011,10.36,0.0,102
18/12:47:09,0.03,3.08,105.92,0.022,10.36,0.0,103
18/12:47:10,0.03,3.03,105.92,0.022,10.36,0.0,104
18/12:47:10,0.03,3.01,105.9,0.022,10.36,0.0,105
18/12:47:11,0.03,3.05,105.91,0.011,10.37,0.0,106
18/12:47:12,0.02,3.09,105.91,0.011,10.37,0.0,107
18/12:47:12,0.02,3.14,105.92,0.011,10.37,0.0,108
18/12:47:12,0.02,3.19,105.92,0.022,10.37,0.0,109
18/12:47:13,0.02,3.23,105.93,0.022,10.37,0.0,110
18/12:47:13,0.03,3.28,105.93,0.022,10.37,0.0,111
18/12:47:14,0.03,3.32,105.94,0.022,10.37,0.0,112
18/12:47:15,0.03,3.35,105.96,0.011,10.37,0.0,113
18/12:47:15,0.03,3.34,105.95,0.0,10.37,0.0,114
18/12:47:15,0.03,3.26,105.93,0.011,10.37,0.0,115
18/12:47:16,0.03,3.16,105.92,0.022,10.37,0.0,116
18/12:47:17,0.03,3.06,105.92,0.011,10.37,0.0,117
18/12:47:17,0.02,2.96,105.9,0.022,10.37,0.0,118
18/12:47:18,0.03,2.84,105.9,0.022,10.37,0.0,119
18/12:47:18,0.03,2.74,105.88,0.033,10.37,0.0,120
18/12:47:19,0.03,2.64,105.88,0.033,10.37,0.0,121
18/12:47:19,0.03,2.57,105.88,0.011,10.37,0.0,122
18/12:47:20,0.03,2.57,105.88,0.0,10.37,0.0,123
18/12:47:21,0.03,2.59,105.88,0.011,10.37,0.0,124
18/12:47:21,0.03,2.68,105.9,0.011,10.37,0.0,125
18/12:47:22,0.03,2.72,105.9,0.0,10.37,0.0,126
18/12:47:22,0.02,2.75,105.9,0.0,10.37,0.0,127
18/12:47:23,0.02,2.78,105.9,0.011,10.38,0.0,128
18/12:47:24,0.02,2.79,105.89,0.011,10.38,0.0,129
18/12:47:24,0.02,2.81,105.9,0.011,10.38,0.0,130
18/12:47:24,0.02,2.81,105.91,0.011,10.38,0.0,131
18/12:47:25,0.02,2.82,105.91,0.0,10.38,0.0,132
18/12:47:26,0.02,2.84,105.9,0.011,10.38,0.0,133
18/12:47:27,0.03,2.9,105.92,0.022,10.38,0.0,134
18/12:47:27,0.03,2.94,105.92,0.011,10.38,0.0,135
18/12:47:28,0.03,2.97,105.93,0.011,10.38,0.0,136
18/12:47:29,0.03,2.98,105.91,0.0,10.38,0.0,137
18/12:47:29,0.03,2.93,105.92,0.011,10.38,0.0,138
18/12:47:30,0.02,2.88,105.92,0.011,10.38,0.0,139
18/12:47:31,0.02,2.82,105.91,0.011,10.38,0.0,140
18/12:47:31,0.02,2.75,105.9,0.011,10.38,0.0,141
18/12:47:31,0.02,2.68,105.89,0.0,10.38,0.0,142
18/12:47:32,0.02,2.61,105.88,0.011,10.38,0.0,143
18/12:47:33,0.02,2.57,105.88,0.011,10.38,0.0,144
18/12:47:33,0.02,2.57,105.87,0.022,10.38,0.0,145
18/12:47:34,0.02,2.56,105.86,0.022,10.38,0.0,146
