Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
15/15:50:03,,,,,,,3
15/15:50:09,12.57,0.68,89.39,70.774,0.58,221.386,4
15/15:50:10,12.48,0.54,89.37,70.928,0.58,221.397,5
15/15:50:10,12.6,0.28,89.36,71.17,0.57,221.408,6
15/15:50:11,12.61,0.08,89.28,71.522,0.57,221.441,7
15/15:50:12,12.67,0.08,89.27,71.665,0.57,221.452,8
15/15:50:13,12.67,0.07,89.25,71.863,0.57,221.463,9
15/15:50:13,12.61,0.06,89.2,72.237,0.56,221.485,10
15/15:50:14,12.73,0.06,89.18,72.38,0.56,221.496,11
15/15:50:15,12.68,0.06,89.18,72.512,0.56,221.507,12
15/15:50:16,12.67,0.05,89.14,72.699,0.56,221.529,13
15/15:50:16,12.69,0.05,89.14,72.864,0.55,221.54,14
15/15:50:17,12.63,0.05,89.12,72.974,0.55,221.551,15
15/15:50:18,12.71,0.04,89.1,73.062,0.55,221.562,16
15/15:50:19,12.68,0.05,89.11,73.194,0.55,221.573,17
15/15:50:19,12.32,0.04,89.13,73.26,0.55,221.584,18
15/15:50:20,12.19,0.04,89.13,73.337,0.54,221.584,19
15/15:50:21,11.86,0.03,89.13,73.425,0.54,221.606,20
15/15:50:22,10.38,0.03,89.31,73.645,0.54,221.606,21
15/15:50:22,7.59,0.02,89.63,74.008,0.54,221.639,22
15/15:50:23,5.92,0.01,89.78,73.898,0.54,221.639,23
15/15:50:24,5.04,0.01,89.87,73.722,0.54,221.65,24
15/15:50:24,4.97,0.02,89.85,73.711,0.54,221.661,25
15/15:50:25,4.69,0.02,89.84,73.634,0.53,221.672,26
15/15:50:26,4.86,0.02,89.84,73.7,0.53,221.683,27
15/15:50:27,6.06,0.03,89.66,73.799,0.53,221.694,28
15/15:50:27,7.11,0.03,89.49,73.887,0.53,221.705,29
15/15:50:28,8.23,0.03,89.33,73.92,0.53,221.716,30
15/15:50:29,9.5,0.04,89.18,73.92,0.53,221.716,31
15/15:50:29,10.5,0.04,89.05,73.964,0.53,221.727,32
15/15:50:30,10.53,0.04,89.05,73.997,0.53,221.749,33
15/15:50:31,10.57,0.03,89.03,73.964,0.53,221.76,34
15/15:50:32,10.67,0.04,89.02,73.953,0.52,221.771,35
15/15:50:32,10.7,0.04,89.0,73.997,0.52,221.782,36
15/15:50:33,10.71,0.04,88.99,74.074,0.52,221.793,37
15/15:50:34,10.93,0.04,88.97,74.129,0.52,221.815,38
15/15:50:35,10.73,0.04,88.97,74.173,0.52,221.826,39
15/15:50:35,10.72,0.04,88.96,74.151,0.51,221.837,40
15/15:50:36,10.99,0.04,88.94,74.03,0.51,221.848,41
15/15:50:37,10.67,0.04,88.91,74.118,0.51,221.87,42
15/15:50:37,10.87,0.04,88.89,74.118,0.51,221.881,43
15/15:50:38,10.77,0.04,88.87,74.228,0.51,221.892,44
15/15:50:39,10.62,0.05,88.85,74.239,0.5,221.903,45
15/15:50:40,10.91,0.04,88.82,74.206,0.5,221.925,46
15/15:50:40,10.82,0.04,88.79,74.25,0.5,221.936,47
15/15:50:41,10.6,0.04,88.79,74.283,0.5,221.947,48
15/15:50:42,,,,,,,49
15/15:50:42,10.74,0.04,88.8,74.316,0.5,221.958,50
15/15:50:43,10.84,0.03,88.79,74.393,0.5,221.969,51
15/15:50:44,10.88,0.03,88.79,74.448,0.49,221.98,52
15/15:50:45,10.93,0.02,88.79,74.492,0.49,221.991,53
15/15:50:45,10.69,0.02,88.78,74.525,0.49,222.002,54
15/15:50:46,10.56,0.02,88.77,74.536,0.49,222.013,55
15/15:50:47,10.7,0.02,88.77,74.536,0.49,222.024,56
15/15:50:47,10.88,0.02,88.74,74.536,0.49,222.035,57
15/15:50:48,10.86,0.02,88.71,74.591,0.48,222.046,58
15/15:50:49,10.4,0.03,88.65,74.569,0.48,222.068,59
15/15:50:50,10.68,0.03,88.65,74.624,0.48,222.079,60
15/15:50:50,10.94,0.04,88.63,74.69,0.48,222.09,61
15/15:50:51,10.93,0.04,88.61,74.756,0.48,222.101,62
15/15:50:52,10.65,0.04,88.56,74.789,0.47,222.112,63
15/15:50:52,10.73,0.05,88.57,74.778,0.47,222.134,64
15/15:50:53,10.72,0.04,88.56,74.877,0.47,222.156,65
15/15:50:54,10.36,0.04,88.53,74.91,0.47,222.167,66
15/15:50:54,,,,,,,67
15/15:50:55,10.19,0.04,88.52,74.833,0.46,222.178,68
15/15:50:56,10.27,0.04,88.52,74.8,0.46,222.189,69
15/15:50:57,10.35,0.04,88.51,74.822,0.46,222.2,70
15/15:50:57,10.3,0.04,88.48,74.756,0.46,222.211,71
15/15:50:58,10.21,0.04,88.45,74.712,0.46,222.222,72
15/15:50:59,10.42,0.04,88.44,74.734,0.46,222.233,73
15/15:51:00,10.57,0.05,88.43,74.745,0.46,222.244,74
15/15:51:00,10.54,0.04,88.41,74.723,0.45,222.255,75
15/15:51:01,10.53,0.04,88.37,74.668,0.45,222.266,76
15/15:51:02,10.92,0.04,88.32,74.558,0.45,222.288,77
15/15:51:02,10.97,0.03,88.32,74.591,0.45,222.299,78
15/15:51:03,10.78,0.04,88.31,74.602,0.45,222.31,79
15/15:51:04,10.6,0.04,88.28,74.47,0.44,222.321,80
15/15:51:05,10.77,0.04,88.28,74.47,0.44,222.332,81
15/15:51:05,10.97,0.04,88.28,74.547,0.44,222.343,82
15/15:51:06,10.92,0.03,88.27,74.547,0.44,222.354,83
15/15:51:07,10.56,0.03,88.27,74.459,0.44,222.365,84
15/15:51:07,10.18,0.03,88.31,74.371,0.44,222.376,85
15/15:51:08,9.84,0.03,88.31,74.36,0.44,222.387,86
15/15:51:09,9.51,0.02,88.33,74.272,0.43,222.398,87
15/15:51:10,8.9,0.03,88.36,74.195,0.43,222.409,88
15/15:51:10,8.42,0.03,88.38,74.008,0.43,222.42,89
15/15:51:11,7.91,0.03,88.42,74.03,0.43,222.431,90
15/15:51:12,7.42,0.03,88.47,73.931,0.43,222.442,91
15/15:51:13,7.21,0.03,88.47,73.711,0.43,222.464,92
15/15:51:13,7.07,0.03,88.48,73.612,0.43,222.475,93
15/15:51:14,7.11,0.04,88.49,73.513,0.42,222.486,94
15/15:51:15,6.88,0.03,88.53,73.249,0.42,222.508,95
15/15:51:15,7.01,0.03,88.53,73.161,0.42,222.53,96
15/15:51:16,6.73,0.03,88.53,72.963,0.42,222.541,97
15/15:51:17,6.4,0.03,88.55,72.831,0.42,222.552,98
15/15:51:17,6.49,0.03,88.56,72.765,0.42,222.563,99
15/15:51:18,6.38,0.02,88.56,72.71,0.42,222.574,100
15/15:51:19,6.13,0.02,88.56,72.567,0.42,222.574,101
15/15:51:20,6.22,0.02,88.54,72.457,0.41,222.596,102
15/15:51:20,6.3,0.03,88.53,72.369,0.41,222.596,103
15/15:51:21,6.27,0.02,88.53,72.226,0.41,222.607,104
15/15:51:22,6.25,0.03,88.56,72.116,0.41,222.618,105
15/15:51:22,6.39,0.03,88.55,72.028,0.41,222.629,106
