Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/13:34:33,0.01,4.59,112.32,0.011,24.28,0.121,3
14/13:34:34,0.01,4.71,112.31,0.022,24.28,0.121,4
14/13:34:34,0.01,4.74,112.31,0.0,24.28,0.121,5
14/13:34:34,0.01,4.75,112.32,0.011,24.28,0.121,6
14/13:34:35,0.01,4.75,112.33,0.022,24.28,0.121,7
14/13:34:35,0.01,4.75,112.33,0.011,24.28,0.121,8
14/13:34:35,0.01,4.75,112.34,0.011,24.28,0.121,9
14/13:34:36,0.01,4.75,112.33,0.0,24.28,0.121,10
14/13:34:36,0.01,4.75,112.34,0.011,24.28,0.121,11
14/13:34:36,0.01,4.74,112.34,0.011,24.29,0.121,12
14/13:34:37,0.01,4.73,112.34,0.022,24.29,0.121,13
14/13:34:38,0.01,4.73,112.34,0.033,24.29,0.121,14
14/13:34:38,0.01,4.75,112.34,0.0,24.29,0.121,15
14/13:34:39,0.01,4.75,112.34,0.0,24.29,0.121,16
14/13:34:39,0.01,4.75,112.35,0.0,24.29,0.121,17
14/13:34:40,0.01,4.75,112.35,0.0,24.29,0.121,18
14/13:34:41,0.01,4.78,112.35,0.011,24.29,0.121,19
14/13:34:42,0.01,4.8,112.35,0.011,24.29,0.121,20
14/13:34:42,0.01,4.76,112.35,0.011,24.29,0.121,21
14/13:34:42,0.01,4.72,112.35,0.0,24.29,0.121,22
14/13:34:43,0.01,4.67,112.34,0.011,24.29,0.121,23
14/13:34:43,0.01,4.63,112.34,0.011,24.29,0.121,24
14/13:34:44,0.01,4.56,112.33,0.022,24.3,0.121,25
14/13:34:45,0.01,4.5,112.33,0.011,24.3,0.121,26
14/13:34:45,0.01,4.45,112.32,0.011,24.3,0.121,27
14/13:34:46,0.01,4.43,112.32,0.011,24.3,0.121,28
14/13:34:46,0.01,4.43,112.32,0.0,24.3,0.121,29
14/13:34:47,0.01,4.43,112.31,0.0,24.3,0.121,30
14/13:34:47,0.01,4.43,112.32,0.011,24.3,0.121,31
14/13:34:48,0.01,4.43,112.32,0.011,24.3,0.121,32
14/13:34:49,0.01,4.47,112.32,0.011,24.3,0.121,33
14/13:34:49,0.01,4.52,112.32,0.011,24.3,0.121,34
14/13:34:49,0.01,4.56,112.33,0.0,24.3,0.121,35
14/13:34:51,0.01,4.7,112.34,0.0,24.3,0.121,36
14/13:34:51,0.01,4.75,112.35,0.011,24.3,0.121,37
14/13:34:52,0.01,4.79,112.36,0.022,24.31,0.121,38
14/13:34:52,0.01,4.8,112.37,0.022,24.31,0.121,39
14/13:34:53,0.01,4.78,112.36,0.022,24.31,0.121,40
14/13:34:53,0.01,4.77,112.37,0.011,24.31,0.121,41
14/13:34:54,0.01,4.73,112.38,0.011,24.31,0.121,42
14/13:34:55,0.01,4.65,112.37,0.011,24.31,0.121,43
14/13:34:56,0.01,4.48,112.35,0.011,24.31,0.121,44
14/13:34:57,0.01,4.38,112.34,0.011,24.31,0.121,45
14/13:34:58,0.01,4.22,112.32,0.011,24.31,0.121,46
14/13:34:59,0.01,4.21,112.31,0.033,24.31,0.121,47
14/13:34:59,0.01,4.21,112.31,0.022,24.31,0.121,48
14/13:35:00,0.01,4.27,112.31,0.011,24.32,0.121,49
14/13:35:01,0.01,4.32,112.31,0.011,24.32,0.121,50
14/13:35:02,0.01,4.44,112.33,0.011,24.32,0.121,51
14/13:35:03,0.01,4.52,112.33,0.011,24.32,0.121,52
14/13:35:03,0.01,4.59,112.34,0.0,24.32,0.121,53
14/13:35:03,0.01,4.66,112.35,0.0,24.32,0.121,54
14/13:35:04,0.01,4.74,112.36,0.0,24.32,0.121,55
14/13:35:05,0.01,4.79,112.35,0.0,24.32,0.121,56
14/13:35:05,0.01,4.83,112.36,0.0,24.32,0.121,57
14/13:35:06,0.01,4.85,112.36,0.011,24.32,0.121,58
14/13:35:06,0.01,4.86,112.37,0.011,24.32,0.121,59
14/13:35:07,0.0,4.84,112.38,0.0,24.32,0.121,60
14/13:35:07,0.01,4.81,112.37,0.0,24.32,0.121,61
14/13:35:08,0.01,4.79,112.37,0.011,24.32,0.121,62
14/13:35:08,0.0,4.79,112.38,0.022,24.33,0.121,63
14/13:35:09,0.0,4.78,112.38,0.022,24.33,0.121,64
14/13:35:09,0.0,4.78,112.39,0.033,24.33,0.121,65
14/13:35:10,0.01,4.78,112.38,0.022,24.33,0.121,66
14/13:35:10,0.01,4.78,112.37,0.022,24.33,0.121,67
14/13:35:11,0.01,4.8,112.37,0.011,24.33,0.121,68
14/13:35:11,0.01,4.81,112.38,0.0,24.33,0.121,69
14/13:35:12,0.01,4.81,112.38,0.0,24.33,0.121,70
14/13:35:13,0.01,4.81,112.38,0.0,24.33,0.121,71
14/13:35:13,0.01,4.81,112.38,0.0,24.33,0.121,72
14/13:35:14,0.01,4.81,112.39,0.011,24.33,0.121,73
14/13:35:14,0.01,4.81,112.39,0.011,24.33,0.121,74
14/13:35:15,0.01,4.83,112.38,0.0,24.33,0.121,75
14/13:35:16,0.01,4.85,112.38,0.0,24.34,0.121,76
14/13:35:16,0.01,4.87,112.38,0.0,24.34,0.121,77
14/13:35:17,0.01,4.87,112.38,0.0,24.34,0.121,78
14/13:35:17,0.01,4.88,112.37,0.0,24.34,0.121,79
14/13:35:18,0.01,4.88,112.37,0.011,24.34,0.121,80
14/13:35:18,0.01,4.89,112.37,0.022,24.34,0.121,81
14/13:35:19,0.01,4.89,112.37,0.011,24.34,0.121,82
14/13:35:19,0.01,4.89,112.38,0.011,24.34,0.121,83
14/13:35:20,0.01,4.89,112.37,0.011,24.34,0.121,84
14/13:35:20,0.01,4.9,112.38,0.022,24.34,0.121,85
14/13:35:21,0.01,4.9,112.38,0.022,24.34,0.121,86
14/13:35:21,0.01,4.89,112.37,0.022,24.34,0.121,87
14/13:35:22,0.01,4.83,112.44,0.011,24.34,0.121,88
14/13:35:22,0.0,4.69,112.59,0.0,24.34,0.121,89
14/13:35:23,0.0,4.54,112.74,0.0,24.34,0.121,90
14/13:35:23,0.0,4.41,112.87,0.0,24.35,0.121,91
14/13:35:24,0.0,4.28,113.01,0.0,24.35,0.121,92
14/13:35:25,0.0,4.17,113.15,0.0,24.35,0.121,93
14/13:35:25,0.0,4.13,113.19,0.0,24.35,0.121,94
14/13:35:26,0.0,4.14,113.19,0.0,24.35,0.121,95
14/13:35:26,0.0,4.2,113.12,0.022,24.35,0.121,96
14/13:35:26,0.0,4.34,112.98,0.022,24.35,0.121,97
14/13:35:27,0.0,4.48,112.84,0.022,24.35,0.121,98
14/13:35:28,0.0,4.51,112.79,0.011,24.35,0.121,99
14/13:35:29,0.0,4.45,112.72,0.0,24.35,0.121,100
14/13:35:30,0.0,4.26,112.77,0.0,24.35,0.121,101
14/13:35:30,0.0,3.81,112.89,2.805,24.35,0.121,102
14/13:35:31,0.0,3.81,112.89,2.805,24.35,0.121,103
14/13:35:31,0.0,3.81,112.88,2.805,24.35,0.121,104
14/13:35:32,0.0,3.89,112.81,2.805,24.36,0.121,105
14/13:35:32,0.0,4.04,112.66,0.0,24.36,0.121,106
14/13:35:33,0.0,4.21,112.59,0.0,24.36,0.121,107
14/13:35:34,0.01,4.53,112.52,0.011,24.36,0.121,108
14/13:35:34,0.01,4.74,112.46,0.011,24.36,0.121,109
14/13:35:34,0.01,4.87,112.4,0.0,24.36,0.121,110
14/13:35:35,0.01,4.87,112.4,0.011,24.36,0.121,111
14/13:35:35,0.01,4.87,112.4,0.011,24.36,0.121,112
14/13:35:36,0.01,4.87,112.4,0.011,24.36,0.121,113
14/13:35:36,0.01,4.87,112.4,0.011,24.36,0.121,114
14/13:35:37,0.01,4.87,112.41,0.0,24.36,0.121,115
14/13:35:38,0.01,4.87,112.41,0.0,24.36,0.121,116
14/13:35:38,0.01,4.87,112.41,0.0,24.36,0.121,117
14/13:35:39,0.01,4.87,112.42,0.0,24.36,0.121,118
14/13:35:39,0.01,4.76,112.53,0.011,24.36,0.121,119
14/13:35:40,0.01,4.64,112.65,0.0,24.37,0.121,120
14/13:35:40,0.01,4.51,112.8,0.0,24.37,0.121,121
14/13:35:41,0.01,4.46,112.85,0.0,24.37,0.121,122
14/13:35:41,0.01,4.46,112.85,0.011,24.37,0.121,123
14/13:35:42,0.01,4.47,112.85,0.011,24.37,0.121,124
14/13:35:43,0.01,4.46,112.85,0.022,24.37,0.121,125
14/13:35:44,0.01,4.56,112.75,0.011,24.37,0.121,126
14/13:35:44,0.01,4.69,112.61,0.011,24.37,0.121,127
14/13:35:45,0.01,4.83,112.45,0.0,24.37,0.121,128
14/13:35:46,0.01,4.81,112.41,0.0,24.37,0.121,129
14/13:35:46,0.01,4.79,112.41,0.0,24.37,0.121,130
14/13:35:47,0.01,4.77,112.41,0.0,24.37,0.121,131
14/13:35:47,0.01,4.75,112.4,0.0,24.37,0.121,132
14/13:35:48,0.01,4.75,112.4,0.011,24.38,0.121,133
14/13:35:48,0.01,4.73,112.4,0.011,24.38,0.121,134
14/13:35:49,0.01,4.71,112.4,0.0,24.38,0.121,135
14/13:35:49,0.01,4.69,112.4,0.0,24.38,0.121,136
14/13:35:50,0.01,4.68,112.4,0.0,24.38,0.121,137
14/13:35:50,0.01,4.67,112.4,0.011,24.38,0.121,138
14/13:35:51,0.01,4.65,112.39,0.011,24.38,0.121,139
14/13:35:51,0.01,4.61,112.39,0.011,24.38,0.121,140
14/13:35:52,0.01,4.59,112.39,0.011,24.38,0.121,141
14/13:35:52,0.01,4.62,112.39,0.011,24.38,0.121,142
14/13:35:53,0.01,4.65,112.39,0.011,24.38,0.121,143
14/13:35:53,0.01,4.69,112.39,0.022,24.38,0.121,144
14/13:35:54,0.01,4.71,112.39,0.011,24.38,0.121,145
14/13:35:55,0.01,4.74,112.39,0.011,24.38,0.121,146
14/13:35:55,0.01,4.78,112.4,0.0,24.38,0.121,147
14/13:35:56,0.01,4.7,112.56,0.022,24.38,0.121,148
14/13:35:57,0.01,4.54,112.73,0.011,24.38,0.121,149
14/13:35:57,0.01,4.44,112.82,0.0,24.38,0.121,150
14/13:35:58,0.01,4.43,112.83,0.0,24.38,0.121,151
14/13:35:58,0.01,4.44,112.84,0.0,24.38,0.121,152
14/13:35:59,0.01,4.44,112.84,0.0,24.38,0.121,153
14/13:35:59,0.01,4.43,112.84,0.0,24.38,0.121,154
14/13:36:00,0.01,4.45,112.81,0.0,24.38,0.121,155
14/13:36:00,0.01,4.62,112.65,0.011,24.38,0.121,156
14/13:36:01,0.01,4.77,112.5,0.011,24.38,0.121,157
14/13:36:02,0.01,4.84,112.42,0.022,24.38,0.121,158
14/13:36:03,0.01,4.84,112.42,0.0,24.38,0.121,159
14/13:36:03,0.01,4.84,112.42,0.0,24.4,0.121,160
14/13:36:04,0.01,4.84,112.42,0.011,24.4,0.121,161
14/13:36:05,0.01,4.84,112.42,0.011,24.4,0.121,162
14/13:36:05,0.01,4.84,112.41,0.022,24.4,0.121,163
14/13:36:06,0.01,4.84,112.42,0.022,24.4,0.121,164
14/13:36:06,0.01,4.84,112.42,0.011,24.4,0.121,165
14/13:36:07,0.01,4.84,112.42,0.011,24.4,0.121,166
14/13:36:08,0.01,4.85,112.42,0.022,24.4,0.121,167
14/13:36:08,0.01,4.86,112.42,0.022,24.4,0.121,168
14/13:36:09,0.01,4.87,112.42,0.011,24.4,0.121,169
14/13:36:09,0.01,4.88,112.42,0.022,24.4,0.121,170
14/13:36:10,0.01,4.89,112.42,0.011,24.4,0.121,171
14/13:36:10,0.01,4.9,112.42,0.011,24.4,0.121,172
14/13:36:11,0.01,4.81,112.54,0.011,24.41,0.121,173
14/13:36:11,0.0,4.72,112.69,0.011,24.41,0.121,174
14/13:36:12,0.0,4.59,112.83,0.0,24.41,0.121,175
14/13:36:12,0.0,4.56,112.88,0.0,24.41,0.121,176
14/13:36:13,0.0,4.55,112.88,0.0,24.41,0.121,177
14/13:36:13,0.01,4.53,112.89,0.011,24.41,0.121,178
14/13:36:14,0.0,4.52,112.88,0.0,24.41,0.121,179
14/13:36:15,0.01,4.5,112.86,0.0,24.41,0.121,180
14/13:36:15,0.01,4.61,112.71,0.0,24.41,0.121,181
14/13:36:16,0.01,4.69,112.59,0.011,24.41,0.121,182
14/13:36:16,0.01,4.8,112.44,0.022,24.41,0.121,183
14/13:36:17,0.01,4.8,112.43,0.011,24.41,0.121,184
14/13:36:17,0.01,4.79,112.43,0.011,24.41,0.121,185
14/13:36:18,0.02,4.79,112.43,0.022,24.41,0.121,186
14/13:36:18,0.02,4.78,112.43,0.011,24.41,0.121,187
14/13:36:19,0.02,4.78,112.43,0.011,24.42,0.121,188
14/13:36:20,0.02,4.78,112.43,0.011,24.42,0.121,189
14/13:36:20,0.02,4.77,112.42,0.022,24.42,0.121,190
14/13:36:21,0.01,4.77,112.42,0.0,24.42,0.121,191
14/13:36:21,0.02,4.78,112.42,0.0,24.42,0.121,192
14/13:36:22,0.01,4.78,112.42,0.396,24.42,0.121,193
14/13:36:22,0.02,4.79,112.43,0.77,24.42,0.121,194
14/13:36:23,0.02,4.79,112.43,0.825,24.42,0.121,195
14/13:36:23,0.02,4.79,112.44,0.649,24.42,0.121,196
14/13:36:24,0.02,4.79,112.44,0.748,24.42,0.121,197
14/13:36:25,0.02,4.8,112.44,0.506,24.42,0.132,198
14/13:36:26,0.14,4.81,112.43,0.396,24.42,0.132,199
14/13:36:26,0.28,4.81,112.43,0.286,24.42,0.132,200
14/13:36:27,0.45,4.81,112.41,0.187,24.43,0.132,201
14/13:36:27,0.48,4.81,112.4,0.418,24.43,0.132,202
14/13:36:28,0.48,4.8,112.39,0.55,24.43,0.132,203
14/13:36:29,0.48,4.78,112.39,0.396,24.43,0.132,204
14/13:36:29,0.46,4.77,112.39,0.539,24.43,0.132,205
14/13:36:30,0.16,4.75,112.41,0.44,24.43,0.132,206
14/13:36:31,0.05,4.74,112.42,0.275,24.43,0.132,207
14/13:36:31,0.02,4.74,112.43,0.132,24.43,0.132,208
14/13:36:32,0.02,4.74,112.44,0.121,24.43,0.132,209
14/13:36:32,0.02,4.74,112.44,0.132,24.43,0.132,210
14/13:36:33,0.02,4.74,112.44,0.033,24.43,0.132,211
14/13:36:34,0.02,4.74,112.43,0.132,24.44,0.132,212
14/13:36:35,0.02,4.73,112.43,0.088,24.44,0.132,213
14/13:36:36,0.02,4.73,112.43,0.077,24.44,0.132,214
14/13:36:36,0.02,4.73,112.43,0.011,24.44,0.132,215
14/13:36:37,0.02,4.73,112.43,0.011,24.44,0.132,216
14/13:36:37,0.02,4.73,112.43,0.011,24.44,0.132,217
14/13:36:38,0.02,4.73,112.43,0.0,24.44,0.132,218
