Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
13/14:38:20,5.71,3.55,110.75,57.915,29.12,197.692,4
13/14:38:20,5.69,3.55,110.78,57.618,29.12,197.703,5
13/14:38:20,5.72,3.54,110.82,57.442,29.12,197.714,6
13/14:38:21,5.76,3.53,110.77,57.662,29.12,197.714,7
13/14:38:21,5.63,3.4,110.75,57.134,29.12,197.736,8
13/14:38:21,5.5,3.31,110.85,57.31,29.12,197.747,9
13/14:38:22,5.36,3.22,111.03,57.321,29.12,197.747,10
13/14:38:22,5.33,3.17,111.09,57.112,29.12,197.758,11
13/14:38:22,5.35,3.18,111.08,57.123,29.12,197.769,12
13/14:38:23,5.37,3.17,111.09,56.848,29.12,197.78,13
13/14:38:23,5.41,3.19,111.09,56.672,29.12,197.78,14
13/14:38:23,5.54,3.24,111.0,56.782,29.12,197.791,15
13/14:38:23,5.76,3.33,110.91,56.87,29.12,197.802,16
13/14:38:24,6.05,3.43,110.82,56.98,29.12,197.813,17
13/14:38:24,6.49,3.53,110.72,57.266,29.12,197.824,18
13/14:38:24,6.51,3.52,110.74,57.596,29.12,197.835,19
13/14:38:25,6.56,3.52,110.71,57.728,29.12,197.846,20
13/14:38:25,6.69,3.53,110.68,57.574,29.12,197.846,21
13/14:38:25,6.72,3.52,110.68,57.75,29.12,197.857,22
13/14:38:26,6.86,3.52,110.67,58.069,29.12,197.868,23
13/14:38:26,6.97,3.5,110.49,58.311,29.12,197.879,24
13/14:38:26,7.05,3.5,110.48,58.531,29.12,197.879,25
13/14:38:27,7.2,3.51,110.43,58.586,29.12,197.89,26
13/14:38:28,7.34,3.49,110.45,58.707,29.11,197.901,27
13/14:38:28,7.45,3.5,110.57,58.817,29.11,197.912,28
13/14:38:28,7.59,3.51,110.57,59.092,29.11,197.923,29
13/14:38:29,7.72,3.52,110.54,59.389,29.11,197.923,30
13/14:38:30,7.8,3.51,110.51,59.576,29.11,197.934,31
13/14:38:30,7.62,3.44,110.61,59.774,29.11,197.945,32
13/14:38:30,7.32,3.37,110.73,60.236,29.11,197.956,33
13/14:38:31,7.05,3.3,110.9,60.83,29.11,197.967,34
13/14:38:32,6.79,3.23,110.97,61.017,29.11,197.967,35
13/14:38:32,6.57,3.14,110.96,61.017,29.11,197.978,36
13/14:38:33,6.49,3.1,110.96,60.951,29.11,197.989,37
13/14:38:33,6.49,3.1,110.98,60.83,29.11,198.0,38
13/14:38:34,6.38,3.1,110.99,60.863,29.11,198.011,39
13/14:38:34,6.57,3.17,110.9,61.094,29.11,198.011,40
13/14:38:35,6.88,3.24,110.78,61.358,29.11,198.022,41
13/14:38:35,7.01,3.28,110.69,61.996,29.11,198.033,42
13/14:38:36,6.99,3.31,110.65,62.7,29.11,198.055,43
13/14:38:37,6.79,3.26,110.79,62.403,29.1,198.055,44
13/14:38:38,6.6,3.21,110.9,62.667,29.1,198.066,45
13/14:38:38,6.44,3.14,111.05,63.052,29.1,198.077,46
13/14:38:38,6.24,3.1,111.12,63.096,29.1,198.088,47
13/14:38:39,6.27,3.1,111.12,63.107,29.1,198.099,48
13/14:38:40,6.39,3.12,111.06,63.118,29.1,198.11,49
13/14:38:40,6.77,3.2,110.95,63.228,29.1,198.121,50
13/14:38:41,7.16,3.27,110.82,63.316,29.1,198.121,51
13/14:38:41,7.52,3.34,110.67,64.306,29.1,198.132,52
13/14:38:42,7.82,3.41,110.52,64.471,29.1,198.143,53
13/14:38:42,8.17,3.47,110.44,64.185,29.1,198.154,54
13/14:38:43,8.16,3.44,110.47,64.867,29.1,198.165,55
13/14:38:43,8.03,3.37,110.6,65.472,29.1,198.176,56
13/14:38:44,7.92,3.3,110.71,65.747,29.1,198.176,57
13/14:38:44,7.66,3.24,110.83,65.857,29.1,198.187,58
13/14:38:45,7.44,3.17,110.95,66.264,29.1,198.198,59
13/14:38:46,7.33,3.13,110.99,66.55,29.1,198.209,60
13/14:38:46,7.34,3.12,111.0,66.583,29.09,198.22,61
13/14:38:46,7.35,3.13,110.94,66.561,29.09,198.231,62
13/14:38:47,7.6,3.19,110.84,67.067,29.09,198.242,63
13/14:38:47,7.83,3.25,110.68,67.452,29.09,198.253,64
13/14:38:48,8.04,3.32,110.55,67.848,29.09,198.264,65
13/14:38:48,8.28,3.38,110.54,68.156,29.09,198.275,66
13/14:38:49,8.53,3.45,110.42,68.453,29.09,198.275,67
13/14:38:49,8.62,3.48,110.39,68.728,29.09,198.286,68
13/14:38:50,8.51,3.44,110.46,69.201,29.09,198.297,69
13/14:38:51,8.02,3.26,110.68,70.191,29.09,198.308,70
13/14:38:52,7.6,3.1,110.89,70.785,29.09,198.341,71
13/14:38:53,7.28,3.0,110.89,71.434,29.09,198.352,72
13/14:38:53,7.16,2.98,110.89,71.632,29.09,198.363,73
13/14:38:54,7.31,2.98,110.9,71.478,29.08,198.374,74
13/14:38:54,7.39,3.05,110.8,71.731,29.08,198.385,75
13/14:38:55,7.57,3.13,110.75,71.94,29.08,198.396,76
13/14:38:55,7.88,3.23,110.65,72.688,29.08,198.407,77
13/14:38:56,7.99,3.31,110.57,73.062,29.08,198.418,78
13/14:38:56,8.21,3.38,110.45,73.051,29.08,198.429,79
13/14:38:57,8.45,3.46,110.39,73.293,29.08,198.44,80
13/14:38:57,8.44,3.47,110.37,73.755,29.08,198.451,81
13/14:38:58,8.23,3.47,110.35,74.074,29.08,198.462,82
13/14:38:58,8.38,3.51,110.28,74.129,29.08,198.462,83
13/14:38:59,8.31,3.51,110.32,74.25,29.08,198.484,84
13/14:39:00,8.33,3.51,110.21,74.503,29.08,198.495,85
13/14:39:00,8.3,3.52,110.21,74.591,29.08,198.495,86
13/14:39:01,8.19,3.52,110.2,74.756,29.08,198.506,87
13/14:39:01,8.43,3.54,110.26,74.91,29.07,198.517,88
13/14:39:02,8.56,3.52,110.27,75.416,29.07,198.55,89
13/14:39:03,8.55,3.55,110.22,75.658,29.07,198.55,90
13/14:39:03,8.72,3.54,110.23,75.801,29.07,198.561,91
13/14:39:04,8.88,3.54,110.43,75.9,29.07,198.583,92
13/14:39:04,9.04,3.53,110.42,76.098,29.07,198.594,93
13/14:39:05,8.82,3.51,110.41,76.296,29.07,198.594,94
13/14:39:06,8.68,3.51,110.47,75.9,29.07,198.616,95
13/14:39:06,8.78,3.51,110.49,75.79,29.07,198.616,96
13/14:39:07,8.75,3.48,110.5,75.746,29.07,198.649,97
13/14:39:07,8.57,3.49,110.34,75.669,29.07,198.649,98
13/14:39:08,8.44,3.49,110.32,75.592,29.06,198.66,99
13/14:39:09,8.47,3.5,110.31,75.57,29.06,198.682,100
13/14:39:09,8.66,3.51,110.3,75.493,29.06,198.693,101
13/14:39:10,8.95,3.51,110.17,75.526,29.06,198.693,102
13/14:39:10,9.02,3.53,110.17,75.449,29.06,198.704,103
13/14:39:11,8.91,3.55,110.17,75.339,29.06,198.726,104
13/14:39:11,8.79,3.54,110.17,75.009,29.06,198.737,105
13/14:39:12,8.72,3.53,110.18,74.8,29.06,198.737,106
13/14:39:12,8.75,3.55,110.22,74.624,29.06,198.748,107
13/14:39:13,8.86,3.53,110.21,74.448,29.06,198.77,108
13/14:39:14,8.71,3.55,110.2,74.382,29.06,198.77,109
13/14:39:14,8.44,3.52,110.21,74.261,29.06,198.792,110
13/14:39:15,8.59,3.53,110.21,74.107,29.05,198.814,111
13/14:39:16,8.63,3.53,110.19,73.931,29.05,198.825,112
13/14:39:16,8.77,3.54,110.17,73.92,29.05,198.836,113
13/14:39:17,8.73,3.54,110.27,73.887,29.05,198.847,114
13/14:39:18,8.75,3.51,110.31,73.634,29.05,198.858,115
13/14:39:18,8.88,3.51,110.28,73.601,29.05,198.869,116
13/14:39:19,8.63,3.49,110.35,73.59,29.05,198.891,117
13/14:39:20,8.73,3.46,110.34,73.711,29.05,198.913,118
13/14:39:21,8.57,3.46,110.35,73.876,29.05,198.924,119
13/14:39:21,8.52,3.46,110.27,73.909,29.05,198.935,120
13/14:39:22,8.72,3.46,110.28,74.052,29.04,198.946,121
13/14:39:22,8.7,3.47,110.26,74.404,29.04,198.957,122
13/14:39:23,8.7,3.48,110.19,74.547,29.04,198.968,123
13/14:39:23,8.7,3.48,110.2,74.635,29.04,198.979,124
13/14:39:25,8.76,3.48,110.15,74.723,29.04,199.012,125
13/14:39:25,8.92,3.5,110.11,75.163,29.04,199.023,126
13/14:39:26,8.69,3.5,110.07,75.449,29.04,199.034,127
13/14:39:26,8.52,3.5,110.11,75.955,29.04,199.045,128
13/14:39:27,8.49,3.51,110.16,75.933,29.04,199.056,129
13/14:39:27,8.67,3.52,110.19,76.054,29.04,199.067,130
13/14:39:28,8.89,3.54,110.22,76.472,29.04,199.078,131
13/14:39:28,8.84,3.54,110.23,76.527,29.03,199.089,132
13/14:39:29,8.69,3.53,110.23,76.659,29.03,199.1,133
13/14:39:29,8.66,3.54,110.43,76.714,29.03,199.111,134
13/14:39:30,8.64,3.54,110.41,76.835,29.03,199.122,135
13/14:39:31,8.66,3.53,110.4,77.011,29.03,199.133,136
13/14:39:32,8.35,3.53,110.37,77.649,29.03,199.155,137
13/14:39:32,8.19,3.52,110.35,77.88,29.03,199.166,138
13/14:39:33,8.1,3.52,110.33,78.111,29.03,199.177,139
13/14:39:33,8.15,3.52,110.23,78.254,29.03,199.188,140
13/14:39:34,8.36,3.51,110.18,78.474,29.03,199.199,141
13/14:39:34,8.51,3.52,110.17,78.672,29.03,199.21,142
13/14:39:35,8.49,3.54,110.13,79.101,29.03,199.221,143
13/14:39:35,8.48,3.54,110.11,79.387,29.03,199.232,144
13/14:39:36,8.5,3.54,110.09,79.409,29.02,199.243,145
13/14:39:36,8.65,3.54,110.14,79.629,29.02,199.265,146
13/14:39:37,8.66,3.55,110.15,79.871,29.02,199.276,147
13/14:39:37,8.59,3.54,110.14,80.058,29.02,199.287,148
13/14:39:38,8.47,3.54,110.14,80.157,29.02,199.298,149
13/14:39:38,8.47,3.54,110.13,80.465,29.02,199.309,150
13/14:39:39,8.5,3.53,110.15,80.861,29.02,199.32,151
13/14:39:40,8.56,3.54,110.16,81.29,29.02,199.331,152
13/14:39:40,8.66,3.55,110.13,81.51,29.02,199.342,153
13/14:39:40,8.37,3.55,110.11,81.84,29.02,199.353,154
13/14:39:41,8.36,3.56,110.13,82.093,29.02,199.364,155
13/14:39:42,8.24,3.56,110.12,82.522,29.02,199.386,156
13/14:39:42,8.3,3.56,110.11,82.808,29.02,199.397,157
13/14:39:43,8.33,3.55,110.12,83.028,29.01,199.408,158
13/14:39:44,8.25,3.54,110.14,83.369,29.01,199.43,159
13/14:39:44,8.35,3.54,110.14,83.622,29.01,199.441,160
13/14:39:45,8.36,3.54,110.17,83.765,29.01,199.452,161
13/14:39:45,8.44,3.53,110.13,83.864,29.01,199.463,162
13/14:39:46,8.49,3.52,110.19,84.073,29.01,199.474,163
13/14:39:46,8.54,3.53,110.21,84.304,29.01,199.485,164
13/14:39:47,8.56,3.53,110.21,84.755,29.01,199.496,165
13/14:39:47,8.56,3.54,110.28,84.92,29.01,199.507,166
13/14:39:48,8.56,3.56,110.3,85.074,29.01,199.529,167
13/14:39:49,8.59,3.56,110.28,85.195,29.01,199.551,168
13/14:39:49,8.54,3.61,110.24,85.558,29.01,199.562,169
13/14:39:50,8.56,3.6,110.23,85.756,29.0,199.573,170
13/14:39:50,8.69,3.6,110.22,86.141,29.0,199.584,171
13/14:39:51,8.66,3.6,110.22,86.097,29.0,199.595,172
13/14:39:52,8.66,3.59,110.11,86.108,29.0,199.617,173
13/14:39:52,8.65,3.59,110.12,85.877,29.0,199.628,174
13/14:39:53,8.77,3.57,110.11,85.866,29.0,199.639,175
13/14:39:53,8.69,3.59,110.12,85.866,29.0,199.65,176
13/14:39:54,8.71,3.57,110.1,85.888,29.0,199.661,177
13/14:39:54,8.67,3.59,110.23,86.02,29.0,199.672,178
13/14:39:55,8.63,3.61,110.32,85.943,29.0,199.683,179
13/14:39:55,8.47,3.62,110.33,85.888,29.0,199.705,180
13/14:39:56,8.48,3.6,110.36,85.943,29.0,199.716,181
13/14:39:57,8.14,3.6,110.36,86.042,29.0,199.727,182
13/14:39:58,7.6,3.59,110.4,85.954,28.99,199.749,183
13/14:39:58,6.35,3.56,110.35,85.415,28.99,199.771,184
13/14:39:59,5.51,3.5,110.41,85.448,28.99,199.782,185
13/14:39:59,4.69,3.45,110.71,85.492,28.99,199.804,186
13/14:40:00,3.69,3.4,110.92,85.481,28.99,199.815,187
13/14:40:00,2.76,3.34,111.06,85.14,28.99,199.826,188
13/14:40:01,2.23,3.31,111.24,84.799,28.99,199.837,189
13/14:40:02,2.2,3.3,111.24,84.249,28.99,199.848,190
13/14:40:02,1.94,3.31,111.27,83.644,28.99,199.859,191
13/14:40:03,1.99,3.33,111.28,83.314,28.99,199.87,192
13/14:40:03,2.18,3.37,111.26,82.94,28.99,199.881,193
13/14:40:04,2.62,3.47,110.9,82.269,28.99,199.914,194
13/14:40:05,2.75,3.53,110.81,81.818,28.99,199.925,195
13/14:40:05,2.89,3.56,110.73,81.411,28.99,199.936,196
13/14:40:06,2.65,3.56,110.77,80.905,28.99,199.947,197
13/14:40:06,2.59,3.56,110.79,80.377,28.99,199.958,198
13/14:40:07,2.34,3.57,110.8,80.124,28.99,199.969,199
13/14:40:07,2.25,3.59,110.78,79.717,28.99,199.98,200
13/14:40:08,2.11,3.59,110.78,79.299,28.99,199.991,201
