Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
17/12:13:58,11.09,3.26,108.41,76.692,20.54,33.99,3
17/12:13:58,11.27,3.26,108.4,76.703,20.54,34.012,4
17/12:13:59,11.18,3.25,108.41,76.747,20.54,34.023,5
17/12:13:59,11.18,3.25,108.42,76.824,20.53,34.034,6
17/12:14:00,11.32,3.25,108.41,76.868,20.53,34.045,7
17/12:14:00,11.08,3.24,108.42,76.934,20.53,34.056,8
17/12:14:01,11.18,3.23,108.43,76.978,20.53,34.067,9
17/12:14:01,11.36,3.24,108.43,76.934,20.53,34.078,10
17/12:14:01,11.0,3.23,108.42,77.132,20.53,34.1,11
17/12:14:02,11.11,3.24,108.44,76.989,20.52,34.122,12
17/12:14:02,11.19,3.24,108.43,77.121,20.52,34.133,13
17/12:14:03,11.16,3.24,108.42,77.253,20.52,34.144,14
17/12:14:03,11.08,3.24,108.41,77.242,20.52,34.155,15
17/12:14:04,11.07,3.24,108.43,77.198,20.52,34.166,16
17/12:14:04,11.15,3.24,108.44,77.297,20.52,34.177,17
17/12:14:05,11.27,3.25,108.45,77.451,20.52,34.188,18
17/12:14:05,11.19,3.24,108.43,77.407,20.52,34.199,19
17/12:14:06,11.1,3.24,108.42,77.451,20.52,34.21,20
17/12:14:06,11.02,3.26,108.42,77.616,20.51,34.221,21
17/12:14:07,11.05,3.27,108.44,77.748,20.51,34.243,22
17/12:14:08,10.89,3.26,108.42,77.737,20.51,34.254,23
17/12:14:08,10.95,3.27,108.41,77.737,20.51,34.265,24
17/12:14:09,11.16,3.27,108.42,77.77,20.51,34.276,25
17/12:14:09,11.27,3.28,108.43,77.913,20.51,34.287,26
17/12:14:10,11.23,3.27,108.42,77.946,20.51,34.309,27
17/12:14:10,11.18,3.25,108.42,77.924,20.51,34.32,28
17/12:14:11,11.04,3.26,108.39,77.913,20.5,34.331,29
17/12:14:12,11.14,3.26,108.39,77.935,20.5,34.342,30
17/12:14:12,11.38,3.26,108.39,77.968,20.5,34.353,31
17/12:14:12,11.42,3.26,108.41,78.089,20.5,34.364,32
17/12:14:13,11.21,3.27,108.4,78.21,20.5,34.375,33
17/12:14:13,11.1,3.26,108.39,78.276,20.5,34.386,34
17/12:14:14,10.96,3.26,108.4,78.342,20.5,34.397,35
17/12:14:14,10.94,3.26,108.41,78.364,20.5,34.408,36
17/12:14:16,11.17,3.24,108.41,78.452,20.49,34.43,37
17/12:14:16,10.97,3.23,108.41,78.397,20.49,34.441,38
17/12:14:17,10.84,3.22,108.4,78.32,20.49,34.452,39
17/12:14:18,11.06,3.22,108.41,78.298,20.49,34.474,40
17/12:14:18,11.06,3.22,108.41,78.353,20.49,34.485,41
17/12:14:19,11.14,3.23,108.41,78.32,20.49,34.507,42
17/12:14:20,10.93,3.24,108.41,78.199,20.48,34.518,43
17/12:14:20,10.89,3.24,108.4,78.089,20.48,34.529,44
17/12:14:21,11.2,3.26,108.41,77.858,20.48,34.54,45
17/12:14:22,11.28,3.26,108.4,77.814,20.48,34.551,46
17/12:14:22,11.28,3.27,108.38,77.88,20.48,34.573,47
17/12:14:23,11.1,3.26,108.39,77.88,20.48,34.584,48
17/12:14:23,11.3,3.27,108.41,77.77,20.48,34.595,49
17/12:14:24,11.3,3.28,108.41,77.715,20.47,34.617,50
17/12:14:25,11.19,3.28,108.41,77.792,20.47,34.639,51
17/12:14:25,10.97,3.28,108.4,77.748,20.47,34.65,52
17/12:14:26,11.14,3.3,108.4,77.704,20.47,34.661,53
17/12:14:27,11.36,3.3,108.4,77.693,20.47,34.672,54
17/12:14:28,11.39,3.3,108.39,77.825,20.47,34.694,55
17/12:14:29,11.41,3.28,108.39,77.715,20.46,34.716,56
17/12:14:29,11.52,3.28,108.38,77.671,20.46,34.716,57
17/12:14:30,11.82,3.28,108.39,77.748,20.46,34.727,58
17/12:14:30,11.67,3.26,108.39,77.759,20.46,34.749,59
17/12:14:31,11.39,3.25,108.38,77.715,20.46,34.76,60
17/12:14:32,11.28,3.24,108.38,77.726,20.46,34.771,61
17/12:14:32,11.23,3.23,108.38,77.726,20.46,34.782,62
17/12:14:32,11.47,3.24,108.39,77.803,20.46,34.793,63
17/12:14:33,11.34,3.24,108.39,77.803,20.45,34.804,64
17/12:14:34,11.19,3.24,108.4,77.737,20.45,34.815,65
17/12:14:34,10.85,3.24,108.38,77.726,20.45,34.826,66
17/12:14:35,10.94,3.23,108.38,77.682,20.45,34.848,67
17/12:14:36,11.18,3.24,108.38,77.671,20.45,34.859,68
17/12:14:36,11.14,3.24,108.38,77.737,20.45,34.87,69
17/12:14:37,11.05,3.23,108.37,77.649,20.45,34.892,70
17/12:14:38,11.19,3.23,108.37,77.616,20.43,34.903,71
17/12:14:38,11.33,3.23,108.37,77.682,20.43,34.914,72
17/12:14:39,11.39,3.23,108.36,77.77,20.43,34.925,73
17/12:14:39,11.03,3.23,108.37,77.759,20.43,34.936,74
17/12:14:40,10.77,3.23,108.35,77.759,20.43,34.958,75
17/12:14:40,10.86,3.24,108.35,77.715,20.43,34.969,76
17/12:14:41,11.03,3.24,108.36,77.671,20.43,34.98,77
17/12:14:41,11.01,3.25,108.36,77.748,20.43,34.991,78
17/12:14:42,10.92,3.25,108.36,77.594,20.42,35.013,79
17/12:14:43,11.03,3.25,108.35,77.506,20.42,35.024,80
17/12:14:43,11.45,3.25,108.36,77.605,20.42,35.035,81
17/12:14:44,11.61,3.25,108.36,77.561,20.42,35.046,82
17/12:14:45,11.43,3.24,108.35,77.506,20.42,35.057,83
17/12:14:45,11.43,3.24,108.35,77.451,20.42,35.068,84
17/12:14:46,11.47,3.23,108.35,77.506,20.42,35.101,85
17/12:14:48,11.38,3.23,108.35,77.528,20.42,35.123,86
17/12:14:48,11.34,3.24,108.34,77.495,20.42,35.134,87
17/12:14:49,11.54,3.23,108.35,77.396,20.42,35.145,88
17/12:14:50,11.48,3.24,108.34,77.352,20.42,35.167,89
17/12:14:50,11.43,3.23,108.35,77.396,20.42,35.178,90
17/12:14:51,11.43,3.25,108.34,77.297,20.41,35.189,91
17/12:14:52,11.21,3.25,108.33,77.275,20.41,35.2,92
17/12:14:52,11.12,3.24,108.33,77.297,20.41,35.211,93
17/12:14:52,11.08,3.25,108.35,77.198,20.41,35.222,94
17/12:14:53,11.1,3.25,108.35,77.121,20.41,35.233,95
17/12:14:53,11.01,3.25,108.35,77.143,20.41,35.244,96
17/12:14:55,10.94,3.26,108.34,77.121,20.41,35.277,97
17/12:14:56,10.99,3.26,108.35,77.209,20.4,35.288,98
17/12:14:56,11.04,3.26,108.35,77.308,20.4,35.299,99
17/12:14:57,11.07,3.25,108.33,77.264,20.4,35.31,100
17/12:14:57,11.0,3.24,108.33,77.176,20.4,35.321,101
17/12:14:58,11.08,3.25,108.33,77.132,20.4,35.332,102
17/12:14:58,11.22,3.24,108.31,77.22,20.4,35.343,103
17/12:14:59,11.27,3.24,108.3,77.231,20.4,35.354,104
17/12:15:00,11.04,3.24,108.3,77.231,20.4,35.376,105
17/12:15:00,11.22,3.26,108.3,77.22,20.39,35.398,106
17/12:15:01,11.26,3.26,108.31,77.22,20.39,35.409,107
17/12:15:01,11.04,3.27,108.31,77.308,20.39,35.42,108
17/12:15:02,11.27,3.27,108.32,77.198,20.39,35.442,109
17/12:15:03,11.36,3.27,108.33,77.286,20.39,35.453,110
17/12:15:04,11.13,3.27,108.35,77.407,20.39,35.475,111
17/12:15:04,11.14,3.27,108.35,77.396,20.38,35.486,112
17/12:15:05,11.33,3.28,108.35,77.451,20.38,35.497,113
17/12:15:06,11.51,3.31,108.35,77.462,20.38,35.508,114
17/12:15:06,11.26,3.34,108.36,77.363,20.38,35.508,115
17/12:15:07,11.15,3.36,108.35,77.264,20.38,35.53,116
17/12:15:07,11.23,3.38,108.35,77.253,20.38,35.541,117
17/12:15:08,11.53,3.41,108.34,77.495,20.38,35.563,118
17/12:15:09,11.19,3.43,108.33,77.517,20.38,35.574,119
17/12:15:09,11.15,3.42,108.34,77.495,20.37,35.585,120
17/12:15:10,11.3,3.42,108.35,77.539,20.37,35.596,121
17/12:15:10,11.41,3.41,108.34,77.66,20.37,35.607,122
17/12:15:11,11.25,3.42,108.34,77.77,20.37,35.618,123
17/12:15:11,10.97,3.41,108.34,77.748,20.37,35.629,124
17/12:15:12,11.16,3.4,108.35,77.693,20.37,35.64,125
17/12:15:13,11.21,3.4,108.34,77.869,20.37,35.662,126
17/12:15:14,11.03,3.41,108.33,77.891,20.36,35.673,127
17/12:15:14,10.98,3.41,108.32,77.869,20.36,35.684,128
17/12:15:15,11.19,3.41,108.32,77.88,20.36,35.695,129
17/12:15:15,11.17,3.41,108.33,77.946,20.36,35.706,130
17/12:15:16,11.1,3.41,108.32,78.045,20.36,35.717,131
17/12:15:16,11.03,3.41,108.32,78.001,20.36,35.728,132
17/12:15:17,11.28,3.41,108.33,77.935,20.36,35.739,133
17/12:15:18,11.41,3.4,108.35,78.001,20.36,35.772,134
17/12:15:18,11.21,3.39,108.35,77.979,20.35,35.783,135
17/12:15:19,11.12,3.38,108.35,77.99,20.35,35.805,136
17/12:15:21,11.22,3.39,108.35,78.078,20.35,35.827,137
17/12:15:21,11.07,3.4,108.33,78.221,20.35,35.849,138
17/12:15:22,11.02,3.4,108.34,78.21,20.35,35.86,139
17/12:15:22,11.06,3.42,108.33,78.177,20.35,35.871,140
17/12:15:23,11.41,3.41,108.34,78.122,20.34,35.893,141
17/12:15:24,11.27,3.41,108.34,78.177,20.34,35.904,142
17/12:15:25,11.01,3.39,108.34,78.166,20.34,35.915,143
17/12:15:25,10.87,3.39,108.35,78.078,20.34,35.926,144
17/12:15:25,10.96,3.38,108.36,78.045,20.34,35.937,145
17/12:15:26,11.13,3.38,108.35,78.089,20.34,35.948,146
17/12:15:26,11.25,3.37,108.36,78.089,20.34,35.959,147
17/12:15:27,11.09,3.38,108.34,78.078,20.34,35.97,148
17/12:15:28,10.89,3.37,108.34,78.023,20.33,35.981,149
17/12:15:28,11.16,3.37,108.34,77.946,20.33,35.992,150
17/12:15:30,11.54,3.39,108.32,77.957,20.33,36.014,151
17/12:15:30,11.54,3.4,108.31,78.045,20.33,36.036,152
17/12:15:30,11.35,3.41,108.3,78.155,20.33,36.047,153
17/12:15:31,11.15,3.4,108.3,78.012,20.33,36.058,154
17/12:15:31,11.19,3.4,108.3,77.913,20.33,36.058,155
17/12:15:32,11.41,3.4,108.31,77.924,20.32,36.08,156
17/12:15:33,10.91,3.38,108.3,78.023,20.32,36.113,157
17/12:15:34,10.91,3.38,108.28,77.957,20.32,36.124,158
17/12:15:35,11.07,3.36,108.28,77.913,20.32,36.135,159
17/12:15:35,11.32,3.36,108.28,77.957,20.32,36.146,160
17/12:15:36,11.28,3.36,108.28,78.034,20.32,36.157,161
17/12:15:36,11.02,3.37,108.27,78.111,20.32,36.168,162
17/12:15:37,10.79,3.37,108.27,78.067,20.31,36.179,163
17/12:15:37,10.8,3.37,108.28,78.045,20.31,36.19,164
17/12:15:38,11.17,3.37,108.28,77.957,20.31,36.201,165
17/12:15:38,11.2,3.37,108.3,77.935,20.31,36.212,166
17/12:15:39,11.07,3.37,108.3,77.88,20.31,36.223,167
17/12:15:40,10.83,3.36,108.31,77.924,20.31,36.245,168
17/12:15:40,11.05,3.35,108.32,77.902,20.31,36.256,169
17/12:15:41,11.34,3.35,108.32,77.891,20.31,36.267,170
17/12:15:42,11.32,3.35,108.34,78.001,20.3,36.278,171
17/12:15:42,11.13,3.34,108.32,78.078,20.3,36.289,172
17/12:15:43,11.25,3.34,108.32,78.023,20.3,36.3,173
17/12:15:44,11.45,3.36,108.32,78.111,20.3,36.333,174
17/12:15:45,11.46,3.35,108.33,78.023,20.3,36.355,175
17/12:15:45,11.47,3.35,108.32,78.056,20.29,36.366,176
17/12:15:46,11.44,3.36,108.31,78.155,20.29,36.377,177
