Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
13/11:37:07,0.0,4.0,120.16,0.011,41.44,0.0,3
13/11:37:08,0.0,4.0,120.16,0.011,41.44,0.0,4
13/11:37:08,0.0,3.95,120.15,0.022,41.44,0.0,5
13/11:37:09,0.0,3.91,120.15,0.011,41.44,0.0,6
13/11:37:09,0.0,3.88,120.14,0.011,41.44,0.0,7
13/11:37:10,0.0,3.85,120.14,0.022,41.44,0.0,8
13/11:37:11,0.0,3.82,120.14,0.011,41.44,0.0,9
13/11:37:11,0.0,3.82,120.14,0.011,41.44,0.0,10
13/11:37:12,0.0,3.84,120.14,0.022,41.44,0.0,11
13/11:37:13,0.0,3.86,120.13,0.022,41.44,0.0,12
13/11:37:13,0.0,3.87,120.14,0.022,41.44,0.0,13
13/11:37:14,0.0,3.86,120.14,0.022,41.44,0.0,14
13/11:37:14,0.0,3.84,120.15,0.011,41.44,0.0,15
13/11:37:15,0.0,3.8,120.15,0.0,41.44,0.0,16
13/11:37:16,0.0,3.75,120.14,0.011,41.44,0.0,17
13/11:37:16,0.0,3.67,120.14,0.011,41.44,0.0,18
13/11:37:17,0.0,3.56,120.13,0.011,41.45,0.0,19
13/11:37:17,0.0,3.46,120.14,0.011,41.45,0.0,20
13/11:37:18,0.0,3.2,120.09,0.022,41.45,0.0,21
13/11:37:19,0.0,3.02,120.08,0.022,41.45,0.0,22
13/11:37:19,0.0,2.85,120.07,0.022,41.45,0.0,23
13/11:37:20,0.0,2.72,120.05,0.0,41.45,0.0,24
13/11:37:20,0.0,2.66,120.04,0.088,41.45,0.0,25
13/11:37:21,0.0,2.69,120.04,0.088,41.45,0.0,26
13/11:37:21,0.0,2.76,120.03,0.11,41.45,0.0,27
13/11:37:22,0.0,3.06,120.07,0.033,41.45,0.0,28
13/11:37:23,0.0,3.24,120.09,0.011,41.45,0.0,29
13/11:37:23,0.0,3.43,120.11,0.011,41.45,0.0,30
13/11:37:24,0.0,3.6,120.13,0.011,41.45,0.0,31
13/11:37:25,0.0,3.71,120.14,0.011,41.45,0.0,32
13/11:37:26,0.0,3.8,120.15,0.011,41.45,0.0,33
13/11:37:26,0.0,3.81,120.15,0.011,41.45,0.0,34
13/11:37:27,0.0,3.76,120.15,0.011,41.45,0.0,35
13/11:37:27,0.0,3.72,120.14,0.011,41.45,0.0,36
13/11:37:28,0.0,3.55,120.14,0.0,41.46,0.0,37
13/11:37:29,0.0,3.48,120.14,0.0,41.46,0.0,38
13/11:37:29,0.0,3.46,120.14,0.022,41.46,0.0,39
13/11:37:30,0.0,3.48,120.15,0.022,41.46,0.0,40
13/11:37:30,0.0,3.52,120.15,0.022,41.46,0.0,41
13/11:37:31,0.0,3.56,120.15,0.011,41.46,0.0,42
13/11:37:32,0.0,3.68,120.16,0.022,41.46,0.0,43
13/11:37:32,0.0,3.75,120.17,0.033,41.46,0.0,44
13/11:37:33,0.0,3.8,120.18,0.033,41.46,0.0,45
13/11:37:34,0.0,3.77,120.18,0.022,41.46,0.0,46
13/11:37:34,0.0,3.64,120.16,0.011,41.46,0.0,47
13/11:37:35,0.0,3.56,120.16,0.011,41.46,0.0,48
13/11:37:36,0.0,3.51,120.16,0.022,41.46,0.0,49
13/11:37:36,0.0,3.45,120.15,0.011,41.46,0.0,50
13/11:37:37,0.0,3.39,120.14,0.022,41.46,0.0,51
13/11:37:37,0.0,3.28,120.14,0.022,41.46,0.0,52
13/11:37:38,0.0,3.18,120.13,0.022,41.46,0.0,53
13/11:37:38,0.0,3.06,120.12,0.011,41.47,0.0,54
13/11:37:39,0.0,2.91,120.12,0.022,41.47,0.0,55
13/11:37:40,0.0,2.82,120.11,0.022,41.47,0.0,56
13/11:37:40,0.0,2.74,120.1,0.011,41.47,0.0,57
13/11:37:41,0.0,2.69,120.09,0.011,41.47,0.0,58
13/11:37:41,0.0,2.66,120.09,0.022,41.47,0.0,59
13/11:37:42,0.0,2.64,120.08,0.022,41.47,0.0,60
13/11:37:42,0.0,2.6,120.07,0.033,41.47,0.0,61
13/11:37:43,0.0,2.56,120.05,0.022,41.47,0.0,62
13/11:37:43,0.0,2.55,120.05,0.022,41.47,0.0,63
13/11:37:44,0.0,2.55,120.05,0.022,41.47,0.0,64
13/11:37:45,0.0,2.53,120.04,0.011,41.47,0.0,65
13/11:37:46,0.0,2.56,120.04,0.011,41.47,0.0,66
13/11:37:46,0.0,2.57,120.04,0.011,41.47,0.0,67
13/11:37:47,0.0,2.66,120.06,0.011,41.47,0.0,68
13/11:37:48,0.0,2.87,120.07,0.022,41.47,0.0,69
13/11:37:48,0.0,2.96,120.09,0.022,41.47,0.0,70
