air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
8,149,52.1,0,0,0,1011.3,192,2.5,166,MOSTLY CLOUDY,14,4.4,2025-08-01T00:05:00+09:30,PT5M
8,153,53.5,0,0,0,1011.3,192,2.5,166,MOSTLY CLOUDY,14.1,4.4,2025-08-01T00:10:00+09:30,PT5M
8,158,50.7,0,0,0,1011.3,193,2.5,167,MOSTLY CLOUDY,14.2,4.5,2025-08-01T00:15:00+09:30,PT5M
8,163,49.2,0,0,0,1011.2,193,2.5,167,MOSTLY CLOUDY,14.3,4.5,2025-08-01T00:20:00+09:30,PT5M
8,168,54.8,0,0,0,1011.2,193,2.5,167,MOSTLY CLOUDY,14.5,4.5,2025-08-01T00:25:00+09:30,PT5M
8,173,56.2,0,0,0,1011.2,193,2.6,168,MOSTLY CLOUDY,14.6,4.5,2025-08-01T00:30:00+09:30,PT5M
8,179,54.8,0,0,0,1011.2,193,2.6,168,MOSTLY CLOUDY,14.7,4.6,2025-08-01T00:35:00+09:30,PT5M
8,-176,56.2,0,0,0,1011.2,193,2.6,168,MOSTLY CLOUDY,14.8,4.6,2025-08-01T00:40:00+09:30,PT5M
8,-170,52.1,0,0,0,1011.2,193,2.6,167,MOSTLY CLOUDY,15,4.6,2025-08-01T00:45:00+09:30,PT5M
8,-165,46.3,0,0,0,1011.2,193,2.6,167,MOSTLY CLOUDY,15.1,4.6,2025-08-01T00:50:00+09:30,PT5M
7,-160,49.2,0,0,0,1011.2,193,2.6,167,MOSTLY CLOUDY,15.2,4.7,2025-08-01T00:55:00+09:30,PT5M
7,-155,52.1,0,0,0,1011.2,193,2.7,166,MOSTLY CLOUDY,15.3,4.7,2025-08-01T01:00:00+09:30,PT5M
7,-150,52.1,0,0,0,1011.2,193,2.7,166,MOSTLY CLOUDY,15.5,4.7,2025-08-01T01:05:00+09:30,PT5M
7,-146,56.2,0,0,0,1011.2,193,2.7,165,MOSTLY CLOUDY,15.6,4.7,2025-08-01T01:10:00+09:30,PT5M
7,-142,60.1,0,0,0,1011.2,193,2.7,165,OVERCAST,15.8,4.8,2025-08-01T01:15:00+09:30,PT5M
7,-139,60.1,0,0,0,1011.1,193,2.7,164,OVERCAST,16,4.8,2025-08-01T01:20:00+09:30,PT5M
7,-135,54.8,0,0,0,1011.1,193,2.7,163,MOSTLY CLOUDY,16.1,4.8,2025-08-01T01:25:00+09:30,PT5M
7,-132,52.1,0,0,0,1011.1,193,2.8,163,MOSTLY CLOUDY,16.3,4.8,2025-08-01T01:30:00+09:30,PT5M
7,-129,40.1,0,0,0,1011.1,192,2.8,162,MOSTLY CLOUDY,16.4,4.9,2025-08-01T01:35:00+09:30,PT5M
7,-127,32,0,0,0,1011.1,192,2.8,161,PARTLY CLOUDY,16.6,4.9,2025-08-01T01:40:00+09:30,PT5M
7,-124,28.5,0,0,0,1011,192,2.8,160,PARTLY CLOUDY,16.7,4.9,2025-08-01T01:45:00+09:30,PT5M
7,-122,15.9,0,0,0,1011,192,2.8,159,PARTLY CLOUDY,16.9,4.9,2025-08-01T01:50:00+09:30,PT5M
7,-120,15.9,0,0,0,1010.9,192,2.8,158,PARTLY CLOUDY,17.1,5,2025-08-01T01:55:00+09:30,PT5M
7,-118,8.2,0,0,0,1010.9,191,2.8,157,MOSTLY CLEAR,17.2,5,2025-08-01T02:00:00+09:30,PT5M
7,-116,0,0,0,0,1010.9,191,2.8,156,CLEAR,17.4,5,2025-08-01T02:05:00+09:30,PT5M
