air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
25,68,58.8,0,0,0,1010,96,3,169,MOSTLY CLOUDY,25.6,11.7,2025-08-01T00:05:00+09:30,PT5M
25,65,58.8,0,0,0,1010,96,2.9,170,MOSTLY CLOUDY,25.5,11.6,2025-08-01T00:10:00+09:30,PT5M
25,63,57.5,0,0,0,1010,97,2.9,171,MOSTLY CLOUDY,25.4,11.5,2025-08-01T00:15:00+09:30,PT5M
25,59,47.8,0,0,0,1010,97,2.9,172,MOSTLY CLOUDY,25.3,11.4,2025-08-01T00:20:00+09:30,PT5M
25,55,43.3,0,0,0,1010,98,2.9,173,MOSTLY CLOUDY,25.2,11.3,2025-08-01T00:25:00+09:30,PT5M
25,48,43.3,0,0,0,1010,98,2.8,174,MOSTLY CLOUDY,25.1,11.2,2025-08-01T00:30:00+09:30,PT5M
25,40,52.1,0,0,0,1010,99,2.8,175,MOSTLY CLOUDY,24.9,11.2,2025-08-01T00:35:00+09:30,PT5M
25,29,54.8,0,0,0,1010,100,2.8,175,MOSTLY CLOUDY,24.8,11.1,2025-08-01T00:40:00+09:30,PT5M
25,15,44.8,0,0,0,1010,101,2.8,176,MOSTLY CLOUDY,24.7,11,2025-08-01T00:45:00+09:30,PT5M
24,-1,53.5,0,0,0,1010,102,2.7,176,MOSTLY CLOUDY,24.6,10.9,2025-08-01T00:50:00+09:30,PT5M
24,-17,47.8,0,0,0,1010,103,2.7,176,MOSTLY CLOUDY,24.5,10.8,2025-08-01T00:55:00+09:30,PT5M
24,-31,38.5,0,0,0,1010,104,2.7,175,MOSTLY CLOUDY,24.4,10.7,2025-08-01T01:00:00+09:30,PT5M
24,-42,35.3,0,0,0,1010,106,2.7,175,MOSTLY CLOUDY,24.3,10.7,2025-08-01T01:05:00+09:30,PT5M
24,-49,33.6,0,0,0,1010,107,2.7,174,PARTLY CLOUDY,24.2,10.6,2025-08-01T01:10:00+09:30,PT5M
24,-55,35.3,0,0,0,1010,108,2.6,173,MOSTLY CLOUDY,24.1,10.5,2025-08-01T01:15:00+09:30,PT5M
24,-60,38.5,0,0,0,1010,109,2.6,172,MOSTLY CLOUDY,24,10.5,2025-08-01T01:20:00+09:30,PT5M
24,-63,33.6,0,0,0,1010,111,2.6,171,PARTLY CLOUDY,23.9,10.4,2025-08-01T01:25:00+09:30,PT5M
24,-66,38.5,0,0,0,1010,112,2.6,170,MOSTLY CLOUDY,23.8,10.3,2025-08-01T01:30:00+09:30,PT5M
24,-68,40.1,0,0,0,1010,113,2.6,168,MOSTLY CLOUDY,23.7,10.3,2025-08-01T01:35:00+09:30,PT5M
24,-70,41.7,0,0,0,1010,114,2.6,167,MOSTLY CLOUDY,23.6,10.2,2025-08-01T01:40:00+09:30,PT5M
24,-71,41.7,0,0,0,1010,114,2.6,166,MOSTLY CLOUDY,23.5,10.1,2025-08-01T01:45:00+09:30,PT5M
24,-72,40.1,0,0,0,1010,115,2.6,165,MOSTLY CLOUDY,23.4,10.1,2025-08-01T01:50:00+09:30,PT5M
24,-73,41.7,0,0,0,1010,116,2.6,164,MOSTLY CLOUDY,23.3,10,2025-08-01T01:55:00+09:30,PT5M
24,-74,46.3,0,0,0,1010,117,2.6,163,MOSTLY CLOUDY,23.2,9.9,2025-08-01T02:00:00+09:30,PT5M
24,-75,47.8,0,0,0,1010.1,117,2.6,162,MOSTLY CLOUDY,23.2,9.9,2025-08-01T02:05:00+09:30,PT5M
24,-75,54.8,0,0,0,1010.1,118,2.7,160,MOSTLY CLOUDY,23.1,9.8,2025-08-01T02:10:00+09:30,PT5M
24,-76,50.7,0,0,0,1010.1,119,2.7,159,MOSTLY CLOUDY,23,9.8,2025-08-01T02:15:00+09:30,PT5M
24,-76,50.7,0,0,0,1010.1,120,2.7,158,MOSTLY CLOUDY,22.9,9.8,2025-08-01T02:20:00+09:30,PT5M
24,-77,41.7,0,0,0,1010.1,120,2.7,157,MOSTLY CLOUDY,22.8,9.7,2025-08-01T02:25:00+09:30,PT5M
24,-77,46.3,0,0,0,1010.1,121,2.7,156,MOSTLY CLOUDY,22.7,9.7,2025-08-01T02:30:00+09:30,PT5M
24,-77,43.3,0,0,0,1010.2,121,2.7,154,MOSTLY CLOUDY,22.7,9.6,2025-08-01T02:35:00+09:30,PT5M
24,-77,38.5,0,0,0,1010.2,121,2.8,153,MOSTLY CLOUDY,22.6,9.6,2025-08-01T02:40:00+09:30,PT5M
24,-78,38.5,0,0,0,1010.2,122,2.8,152,MOSTLY CLOUDY,22.5,9.5,2025-08-01T02:45:00+09:30,PT5M
24,-78,33.6,0,0,0,1010.2,122,2.8,151,PARTLY CLOUDY,22.4,9.5,2025-08-01T02:50:00+09:30,PT5M
24,-78,32,0,0,0,1010.3,122,2.9,150,PARTLY CLOUDY,22.3,9.5,2025-08-01T02:55:00+09:30,PT5M
24,-78,32,0,0,0,1010.3,122,2.9,149,PARTLY CLOUDY,22.2,9.4,2025-08-01T03:00:00+09:30,PT5M
24,-78,41.7,0,0,0,1010.3,122,3,147,MOSTLY CLOUDY,22.2,9.4,2025-08-01T03:05:00+09:30,PT5M
24,-78,41.7,0,0,0,1010.3,122,3,146,MOSTLY CLOUDY,22.1,9.4,2025-08-01T03:10:00+09:30,PT5M
24,-78,44.8,0,0,0,1010.4,122,3,145,MOSTLY CLOUDY,22.1,9.4,2025-08-01T03:15:00+09:30,PT5M
24,-78,54.8,0,0,0,1010.4,122,3.1,144,MOSTLY CLOUDY,22,9.4,2025-08-01T03:20:00+09:30,PT5M
24,-78,50.7,0,0,0,1010.4,122,3.1,143,MOSTLY CLOUDY,21.9,9.4,2025-08-01T03:25:00+09:30,PT5M
24,-78,56.2,0,0,0,1010.4,122,3.2,141,MOSTLY CLOUDY,21.9,9.4,2025-08-01T03:30:00+09:30,PT5M
24,-78,50.7,0,0,0,1010.5,122,3.2,140,MOSTLY CLOUDY,21.8,9.3,2025-08-01T03:35:00+09:30,PT5M
24,-78,50.7,0,0,0,1010.5,123,3.3,139,MOSTLY CLOUDY,21.8,9.3,2025-08-01T03:40:00+09:30,PT5M
24,-78,54.8,0,0,0,1010.5,123,3.3,138,MOSTLY CLOUDY,21.7,9.3,2025-08-01T03:45:00+09:30,PT5M
24,-78,62.6,0,0,0,1010.5,123,3.4,137,OVERCAST,21.6,9.3,2025-08-01T03:50:00+09:30,PT5M
24,-78,58.8,0,0,0,1010.6,123,3.4,136,MOSTLY CLOUDY,21.6,9.3,2025-08-01T03:55:00+09:30,PT5M
24,-78,53.5,0,0,0,1010.6,123,3.5,134,MOSTLY CLOUDY,21.5,9.3,2025-08-01T04:00:00+09:30,PT5M
24,-78,44.8,0,0,0,1010.6,124,3.6,133,MOSTLY CLOUDY,21.5,9.3,2025-08-01T04:05:00+09:30,PT5M
24,-78,43.3,0,0,0,1010.6,124,3.6,132,MOSTLY CLOUDY,21.5,9.3,2025-08-01T04:10:00+09:30,PT5M
24,-78,28.5,0,0,0,1010.7,124,3.7,131,PARTLY CLOUDY,21.4,9.3,2025-08-01T04:15:00+09:30,PT5M
24,-78,30.3,0,0,0,1010.7,124,3.7,130,PARTLY CLOUDY,21.4,9.3,2025-08-01T04:20:00+09:30,PT5M
23,-78,33.6,0,0,0,1010.7,124,3.8,128,PARTLY CLOUDY,21.4,9.3,2025-08-01T04:25:00+09:30,PT5M
23,-78,36.9,0,0,0,1010.7,124,3.9,127,MOSTLY CLOUDY,21.4,9.3,2025-08-01T04:30:00+09:30,PT5M
23,-77,19.6,0,0,0,1010.8,125,3.9,126,PARTLY CLOUDY,21.3,9.3,2025-08-01T04:35:00+09:30,PT5M
23,-77,21.4,0,0,0,1010.8,125,4,125,PARTLY CLOUDY,21.3,9.3,2025-08-01T04:40:00+09:30,PT5M
23,-77,21.4,0,0,0,1010.9,125,4.1,124,PARTLY CLOUDY,21.3,9.3,2025-08-01T04:45:00+09:30,PT5M
23,-77,17.8,0,0,0,1010.9,125,4.1,123,PARTLY CLOUDY,21.3,9.3,2025-08-01T04:50:00+09:30,PT5M
23,-77,19.6,0,0,0,1011,125,4.2,121,PARTLY CLOUDY,21.2,9.3,2025-08-01T04:55:00+09:30,PT5M
23,-77,26.8,0,0,0,1011,125,4.3,120,PARTLY CLOUDY,21.2,9.3,2025-08-01T05:00:00+09:30,PT5M
23,-77,32,0,0,0,1011.1,126,4.3,119,PARTLY CLOUDY,21.2,9.3,2025-08-01T05:05:00+09:30,PT5M
23,-76,35.3,0,0,0,1011.1,126,4.4,118,MOSTLY CLOUDY,21.2,9.3,2025-08-01T05:10:00+09:30,PT5M
23,-76,33.6,0,0,0,1011.2,126,4.5,117,PARTLY CLOUDY,21.1,9.3,2025-08-01T05:15:00+09:30,PT5M
23,-76,35.3,0,0,0,1011.2,126,4.5,115,MOSTLY CLOUDY,21.1,9.3,2025-08-01T05:20:00+09:30,PT5M
23,-76,30.3,0,0,0,1011.3,126,4.6,114,PARTLY CLOUDY,21.1,9.3,2025-08-01T05:25:00+09:30,PT5M
23,-76,21.4,0,0,0,1011.3,126,4.7,113,PARTLY CLOUDY,21.1,9.3,2025-08-01T05:30:00+09:30,PT5M
23,-76,33.6,0,0,0,1011.4,127,4.7,112,PARTLY CLOUDY,21,9.3,2025-08-01T05:35:00+09:30,PT5M
23,-75,38.5,0,0,0,1011.5,127,4.8,111,MOSTLY CLOUDY,21,9.3,2025-08-01T05:40:00+09:30,PT5M
23,-75,43.3,0,0,0,1011.5,127,4.9,110,MOSTLY CLOUDY,21,9.3,2025-08-01T05:45:00+09:30,PT5M
