air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
18,77,61.4,0,0,0,991.1,144,6.4,170,OVERCAST,19.2,8.7,2025-08-01T00:05:00+09:30,PT5M
18,76,53.5,0,0,0,991.2,143,6.4,171,MOSTLY CLOUDY,19,8.6,2025-08-01T00:10:00+09:30,PT5M
18,74,44.8,0,0,0,991.2,143,6.4,173,MOSTLY CLOUDY,18.8,8.5,2025-08-01T00:15:00+09:30,PT5M
18,72,46.3,0,0,0,991.2,143,6.4,174,MOSTLY CLOUDY,18.5,8.4,2025-08-01T00:20:00+09:30,PT5M
18,68,53.5,0,0,0,991.3,143,6.3,175,MOSTLY CLOUDY,18.3,8.3,2025-08-01T00:25:00+09:30,PT5M
18,62,57.5,0,0,0,991.3,142,6.3,176,MOSTLY CLOUDY,18.1,8.2,2025-08-01T00:30:00+09:30,PT5M
18,52,56.2,0,0,0,991.3,142,6.3,177,MOSTLY CLOUDY,17.9,8,2025-08-01T00:35:00+09:30,PT5M
18,34,58.8,0,0,0,991.3,142,6.3,178,MOSTLY CLOUDY,17.7,7.9,2025-08-01T00:40:00+09:30,PT5M
18,2,61.4,0,0,0,991.3,142,6.3,178,OVERCAST,17.5,7.8,2025-08-01T00:45:00+09:30,PT5M
18,-31,65,0,0,0,991.3,142,6.3,178,OVERCAST,17.2,7.7,2025-08-01T00:50:00+09:30,PT5M
18,-50,57.5,0,0,0,991.3,142,6.2,177,MOSTLY CLOUDY,17,7.6,2025-08-01T00:55:00+09:30,PT5M
18,-61,44.8,0,0,0,991.3,142,6.2,176,MOSTLY CLOUDY,16.8,7.5,2025-08-01T01:00:00+09:30,PT5M
18,-67,44.8,0,0,0,991.3,142,6.2,175,MOSTLY CLOUDY,16.5,7.3,2025-08-01T01:05:00+09:30,PT5M
18,-71,40.1,0,0,0,991.3,141,6.2,174,MOSTLY CLOUDY,16.2,7.1,2025-08-01T01:10:00+09:30,PT5M
17,-74,47.8,0,0,0,991.3,141,6.1,173,MOSTLY CLOUDY,15.9,6.9,2025-08-01T01:15:00+09:30,PT5M
17,-76,56.2,0,0,0,991.3,141,6.1,172,MOSTLY CLOUDY,15.6,6.8,2025-08-01T01:20:00+09:30,PT5M
17,-77,63.8,0,0,0,991.3,141,6.1,170,OVERCAST,15.2,6.6,2025-08-01T01:25:00+09:30,PT5M
17,-78,67.4,0,0,0,991.3,141,6.1,169,OVERCAST,14.9,6.4,2025-08-01T01:30:00+09:30,PT5M
17,-79,60.1,0,0,0,991.3,141,6,168,OVERCAST,14.6,6.2,2025-08-01T01:35:00+09:30,PT5M
17,-80,60.1,0,0,0,991.3,141,6,167,OVERCAST,14.3,6,2025-08-01T01:40:00+09:30,PT5M
17,-80,63.8,0,0,0,991.3,141,6,166,OVERCAST,13.9,5.8,2025-08-01T01:45:00+09:30,PT5M
