air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
9,107,0,0,0,0,967,140,3.3,171,CLEAR,3.1,2,2025-08-01T00:05:00+09:30,PT5M
9,109,0,0,0,0,967,140,3.3,172,CLEAR,3.1,2,2025-08-01T00:10:00+09:30,PT5M
9,113,0,0,0,0,967,140,3.3,173,CLEAR,3.1,2,2025-08-01T00:15:00+09:30,PT5M
9,117,0,0,0,0,967,140,3.4,174,CLEAR,3.1,2,2025-08-01T00:20:00+09:30,PT5M
8,124,0,0,0,0,967.1,140,3.4,175,CLEAR,3.1,2,2025-08-01T00:25:00+09:30,PT5M
8,133,0,0,0,0,967.1,140,3.4,176,CLEAR,3.1,2,2025-08-01T00:30:00+09:30,PT5M
8,146,0,0,0,0,967.1,140,3.4,176,CLEAR,3,2.1,2025-08-01T00:35:00+09:30,PT5M
8,165,0,0,0,0,967.1,139,3.4,177,CLEAR,3,2.1,2025-08-01T00:40:00+09:30,PT5M
8,-173,0,0,0,0,967.1,139,3.4,177,CLEAR,3,2.1,2025-08-01T00:45:00+09:30,PT5M
8,-152,0,0,0,0,967.1,138,3.4,177,CLEAR,3,2.1,2025-08-01T00:50:00+09:30,PT5M
8,-137,0,0,0,0,967,138,3.5,176,CLEAR,3,2.1,2025-08-01T00:55:00+09:30,PT5M
8,-127,0,0,0,0,967,138,3.5,175,CLEAR,3,2.1,2025-08-01T01:00:00+09:30,PT5M
8,-119,0,0,0,0,967,137,3.5,174,CLEAR,3,2.1,2025-08-01T01:05:00+09:30,PT5M
8,-114,0,0,0,0,967,137,3.5,173,CLEAR,3,2.1,2025-08-01T01:10:00+09:30,PT5M
8,-110,0,0,0,0,967,136,3.5,172,CLEAR,3,2.1,2025-08-01T01:15:00+09:30,PT5M
8,-108,0,0,0,0,967,136,3.5,171,CLEAR,2.9,2.1,2025-08-01T01:20:00+09:30,PT5M
8,-105,0,0,0,0,967,136,3.5,170,CLEAR,2.9,2.1,2025-08-01T01:25:00+09:30,PT5M
8,-103,0,0,0,0,967,135,3.5,169,CLEAR,2.9,2.1,2025-08-01T01:30:00+09:30,PT5M
8,-102,0,0,0,0,967,135,3.5,168,CLEAR,2.9,2.1,2025-08-01T01:35:00+09:30,PT5M
8,-100,0,0,0,0,967,135,3.5,166,CLEAR,2.9,2.1,2025-08-01T01:40:00+09:30,PT5M
8,-99,0,0,0,0,966.9,135,3.5,165,CLEAR,2.9,2.1,2025-08-01T01:45:00+09:30,PT5M
8,-98,0,0,0,0,966.9,134,3.5,164,CLEAR,2.8,2.1,2025-08-01T01:50:00+09:30,PT5M
7,-97,0,0,0,0,966.9,134,3.5,163,CLEAR,2.8,2.1,2025-08-01T01:55:00+09:30,PT5M
7,-96,0,0,0,0,966.9,134,3.5,162,CLEAR,2.8,2.1,2025-08-01T02:00:00+09:30,PT5M
7,-95,0,0,0,0,966.9,134,3.5,161,CLEAR,2.8,2.1,2025-08-01T02:05:00+09:30,PT5M
7,-95,0,0,0,0,966.9,134,3.4,159,CLEAR,2.8,2.1,2025-08-01T02:10:00+09:30,PT5M
7,-94,0,0,0,0,966.8,133,3.4,158,CLEAR,2.8,2.1,2025-08-01T02:15:00+09:30,PT5M
7,-93,0,0,0,0,966.8,133,3.4,157,CLEAR,2.7,2.1,2025-08-01T02:20:00+09:30,PT5M
7,-93,0,0,0,0,966.8,133,3.4,156,CLEAR,2.7,2.1,2025-08-01T02:25:00+09:30,PT5M
7,-92,0,0,0,0,966.8,133,3.4,155,CLEAR,2.7,2.1,2025-08-01T02:30:00+09:30,PT5M
7,-92,0,0,0,0,966.8,133,3.4,154,CLEAR,2.7,2.2,2025-08-01T02:35:00+09:30,PT5M
7,-91,0,0,0,0,966.8,132,3.4,152,CLEAR,2.7,2.2,2025-08-01T02:40:00+09:30,PT5M
7,-91,0,0,0,0,966.8,132,3.3,151,CLEAR,2.7,2.2,2025-08-01T02:45:00+09:30,PT5M
6,-90,0,0,0,0,966.8,132,3.3,150,CLEAR,2.6,2.2,2025-08-01T02:50:00+09:30,PT5M
6,-90,0,0,0,0,966.8,132,3.3,149,CLEAR,2.6,2.2,2025-08-01T02:55:00+09:30,PT5M
6,-89,0,0,0,0,966.8,131,3.3,148,CLEAR,2.6,2.2,2025-08-01T03:00:00+09:30,PT5M
6,-89,0,0,0,0,966.8,131,3.2,147,CLEAR,2.6,2.2,2025-08-01T03:05:00+09:30,PT5M
6,-88,0,0,0,0,966.8,131,3.2,146,CLEAR,2.6,2.2,2025-08-01T03:10:00+09:30,PT5M
6,-88,0,0,0,0,966.8,131,3.2,144,CLEAR,2.6,2.2,2025-08-01T03:15:00+09:30,PT5M
6,-88,0,0,0,0,966.8,130,3.2,143,CLEAR,2.7,2.2,2025-08-01T03:20:00+09:30,PT5M
6,-87,0,0,0,0,966.8,130,3.2,142,CLEAR,2.7,2.2,2025-08-01T03:25:00+09:30,PT5M
6,-87,0,0,0,0,966.8,130,3.1,141,CLEAR,2.7,2.2,2025-08-01T03:30:00+09:30,PT5M
6,-86,0,0,0,0,966.8,130,3.1,140,CLEAR,2.7,2.3,2025-08-01T03:35:00+09:30,PT5M
6,-86,0,0,0,0,966.8,130,3.1,139,CLEAR,2.7,2.3,2025-08-01T03:40:00+09:30,PT5M
6,-86,0,0,0,0,966.8,130,3.1,137,CLEAR,2.7,2.3,2025-08-01T03:45:00+09:30,PT5M
6,-85,0,0,0,0,966.8,129,3.1,136,CLEAR,2.8,2.3,2025-08-01T03:50:00+09:30,PT5M
6,-85,0,0,0,0,966.7,129,3.1,135,CLEAR,2.8,2.3,2025-08-01T03:55:00+09:30,PT5M
6,-85,0,0,0,0,966.7,129,3.1,134,CLEAR,2.8,2.3,2025-08-01T04:00:00+09:30,PT5M
