air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
12,95,0,0,0,0,978,120,4.7,171,CLEAR,2.8,1,2025-08-01T00:05:00+09:30,PT5M
12,97,10.1,0,0,0,978,120,4.7,172,PARTLY CLOUDY,2.8,1,2025-08-01T00:10:00+09:30,PT5M
12,98,12.1,0,0,0,978,119,4.8,173,PARTLY CLOUDY,2.8,1,2025-08-01T00:15:00+09:30,PT5M
12,101,12.1,0,0,0,978.1,119,4.8,175,PARTLY CLOUDY,2.9,1,2025-08-01T00:20:00+09:30,PT5M
12,104,36.9,0,0,0,978.1,119,4.8,176,MOSTLY CLOUDY,2.9,1,2025-08-01T00:25:00+09:30,PT5M
12,110,50.7,0,0,0,978.1,119,4.8,177,MOSTLY CLOUDY,2.9,1,2025-08-01T00:30:00+09:30,PT5M
12,122,52.1,0,0,0,978.1,119,4.8,178,MOSTLY CLOUDY,2.9,1,2025-08-01T00:35:00+09:30,PT5M
12,154,30.3,0,0,0,978,119,4.8,179,PARTLY CLOUDY,2.9,1,2025-08-01T00:40:00+09:30,PT5M
12,-149,41.7,0,0,0,978,119,4.8,179,MOSTLY CLOUDY,2.9,1,2025-08-01T00:45:00+09:30,PT5M
12,-120,35.3,0,0,0,978,119,4.9,178,MOSTLY CLOUDY,3,1,2025-08-01T00:50:00+09:30,PT5M
12,-109,14,0,0,0,978,119,4.9,177,PARTLY CLOUDY,3,1,2025-08-01T00:55:00+09:30,PT5M
12,-104,12.1,0,0,0,977.9,119,4.9,176,PARTLY CLOUDY,3,1,2025-08-01T01:00:00+09:30,PT5M
12,-100,19.6,0,0,0,977.9,119,4.9,175,PARTLY CLOUDY,3,1,2025-08-01T01:05:00+09:30,PT5M
12,-98,0,0,0,0,977.9,119,5,173,CLEAR,3.1,1,2025-08-01T01:10:00+09:30,PT5M
12,-97,12.1,0,0,0,977.9,119,5,172,PARTLY CLOUDY,3.1,1,2025-08-01T01:15:00+09:30,PT5M
12,-95,0,0,0,0,977.8,119,5,171,CLEAR,3.2,1.1,2025-08-01T01:20:00+09:30,PT5M
12,-94,0,0,0,0,977.8,119,5,170,CLEAR,3.2,1.1,2025-08-01T01:25:00+09:30,PT5M
12,-94,10.1,0,0,0,977.8,120,5,169,PARTLY CLOUDY,3.3,1.1,2025-08-01T01:30:00+09:30,PT5M
12,-93,8.2,0,0,0,977.8,120,5.1,167,MOSTLY CLEAR,3.3,1.1,2025-08-01T01:35:00+09:30,PT5M
12,-92,8.2,0,0,0,977.8,120,5.1,166,MOSTLY CLEAR,3.4,1.1,2025-08-01T01:40:00+09:30,PT5M
12,-92,0,0,0,0,977.7,121,5.2,165,CLEAR,3.4,1.1,2025-08-01T01:45:00+09:30,PT5M
12,-91,0,0,0,0,977.7,121,5.2,164,CLEAR,3.5,1.2,2025-08-01T01:50:00+09:30,PT5M
12,-91,0,0,0,0,977.7,121,5.2,163,CLEAR,3.5,1.2,2025-08-01T01:55:00+09:30,PT5M
12,-90,0,0,0,0,977.7,122,5.3,162,CLEAR,3.6,1.2,2025-08-01T02:00:00+09:30,PT5M
12,-90,0,0,0,0,977.7,122,5.3,160,CLEAR,3.6,1.2,2025-08-01T02:05:00+09:30,PT5M
11,-89,0,0,0,0,977.7,122,5.4,159,CLEAR,3.7,1.2,2025-08-01T02:10:00+09:30,PT5M
11,-89,0,0,0,0,977.6,123,5.4,158,CLEAR,3.7,1.2,2025-08-01T02:15:00+09:30,PT5M
11,-89,0,0,0,0,977.6,123,5.4,157,CLEAR,3.8,1.3,2025-08-01T02:20:00+09:30,PT5M
11,-88,0,0,0,0,977.6,123,5.5,156,CLEAR,3.8,1.3,2025-08-01T02:25:00+09:30,PT5M
11,-88,0,0,0,0,977.6,124,5.5,155,CLEAR,3.9,1.3,2025-08-01T02:30:00+09:30,PT5M
