air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
7,141,0,0,0,0,996.9,186,2.5,167,CLEAR,5.8,1.3,2025-08-01T00:05:00+09:30,PT5M
7,145,0,0,0,0,996.9,186,2.5,168,CLEAR,5.9,1.3,2025-08-01T00:10:00+09:30,PT5M
7,150,0,0,0,0,996.9,186,2.4,168,CLEAR,6,1.4,2025-08-01T00:15:00+09:30,PT5M
7,155,0,0,0,0,996.9,187,2.4,169,CLEAR,6.1,1.4,2025-08-01T00:20:00+09:30,PT5M
7,161,0,0,0,0,996.9,187,2.4,169,CLEAR,6.2,1.4,2025-08-01T00:25:00+09:30,PT5M
7,167,0,0,0,0,996.9,187,2.4,169,CLEAR,6.3,1.4,2025-08-01T00:30:00+09:30,PT5M
7,174,0,0,0,0,996.9,187,2.4,169,CLEAR,6.3,1.5,2025-08-01T00:35:00+09:30,PT5M
6,-180,0,0,0,0,996.9,188,2.4,170,CLEAR,6.4,1.5,2025-08-01T00:40:00+09:30,PT5M
6,-173,0,0,0,0,996.9,188,2.4,169,CLEAR,6.5,1.5,2025-08-01T00:45:00+09:30,PT5M
6,-167,0,0,0,0,996.9,189,2.4,169,CLEAR,6.6,1.5,2025-08-01T00:50:00+09:30,PT5M
6,-161,0,0,0,0,996.9,189,2.4,169,CLEAR,6.7,1.6,2025-08-01T00:55:00+09:30,PT5M
6,-155,0,0,0,0,996.9,189,2.4,169,CLEAR,6.8,1.6,2025-08-01T01:00:00+09:30,PT5M
6,-150,0,0,0,0,996.9,190,2.4,168,CLEAR,6.9,1.6,2025-08-01T01:05:00+09:30,PT5M
6,-145,0,0,0,0,996.8,190,2.4,167,CLEAR,7,1.6,2025-08-01T01:10:00+09:30,PT5M
6,-141,0,0,0,0,996.8,191,2.4,167,CLEAR,7.1,1.6,2025-08-01T01:15:00+09:30,PT5M
6,-137,0,0,0,0,996.8,191,2.4,166,CLEAR,7.2,1.7,2025-08-01T01:20:00+09:30,PT5M
6,-133,0,0,0,0,996.8,192,2.4,165,CLEAR,7.3,1.7,2025-08-01T01:25:00+09:30,PT5M
6,-130,0,0,0,0,996.8,192,2.4,165,CLEAR,7.4,1.7,2025-08-01T01:30:00+09:30,PT5M
6,-127,0,0,0,0,996.8,193,2.4,164,CLEAR,7.6,1.7,2025-08-01T01:35:00+09:30,PT5M
6,-124,0,0,0,0,996.8,193,2.4,163,CLEAR,7.7,1.7,2025-08-01T01:40:00+09:30,PT5M
6,-122,0,0,0,0,996.7,194,2.4,162,CLEAR,7.8,1.7,2025-08-01T01:45:00+09:30,PT5M
6,-119,0,0,0,0,996.7,195,2.4,161,CLEAR,7.9,1.8,2025-08-01T01:50:00+09:30,PT5M
6,-117,0,0,0,0,996.7,196,2.4,160,CLEAR,8,1.8,2025-08-01T01:55:00+09:30,PT5M
6,-115,0,0,0,0,996.7,196,2.4,159,CLEAR,8.1,1.8,2025-08-01T02:00:00+09:30,PT5M
6,-114,0,0,0,0,996.6,197,2.5,158,CLEAR,8.3,1.8,2025-08-01T02:05:00+09:30,PT5M
6,-112,0,0,0,0,996.6,198,2.5,157,CLEAR,8.4,1.8,2025-08-01T02:10:00+09:30,PT5M
6,-110,0,0,0,0,996.6,198,2.5,156,CLEAR,8.5,1.9,2025-08-01T02:15:00+09:30,PT5M
6,-109,0,0,0,0,996.6,199,2.5,155,CLEAR,8.6,1.9,2025-08-01T02:20:00+09:30,PT5M
6,-108,0,0,0,0,996.5,200,2.5,154,CLEAR,8.7,1.9,2025-08-01T02:25:00+09:30,PT5M
6,-107,0,0,0,0,996.5,200,2.6,153,CLEAR,8.8,1.9,2025-08-01T02:30:00+09:30,PT5M
6,-105,0,0,0,0,996.5,201,2.6,152,CLEAR,9,2,2025-08-01T02:35:00+09:30,PT5M
6,-104,0,0,0,0,996.5,201,2.6,151,CLEAR,9.1,2,2025-08-01T02:40:00+09:30,PT5M
6,-103,0,0,0,0,996.5,201,2.6,150,CLEAR,9.2,2,2025-08-01T02:45:00+09:30,PT5M
6,-102,0,0,0,0,996.5,202,2.6,149,CLEAR,9.3,2,2025-08-01T02:50:00+09:30,PT5M
6,-101,0,0,0,0,996.5,202,2.6,148,CLEAR,9.4,2.1,2025-08-01T02:55:00+09:30,PT5M
6,-100,0,0,0,0,996.6,202,2.6,146,CLEAR,9.5,2.1,2025-08-01T03:00:00+09:30,PT5M
6,-99,0,0,0,0,996.6,202,2.7,145,CLEAR,9.7,2.1,2025-08-01T03:05:00+09:30,PT5M
5,-99,0,0,0,0,996.6,203,2.7,144,CLEAR,9.8,2.2,2025-08-01T03:10:00+09:30,PT5M
5,-98,0,0,0,0,996.6,203,2.7,143,CLEAR,10,2.2,2025-08-01T03:15:00+09:30,PT5M
5,-97,0,0,0,0,996.6,203,2.7,142,CLEAR,10.1,2.2,2025-08-01T03:20:00+09:30,PT5M
5,-96,0,0,0,0,996.6,203,2.7,141,CLEAR,10.3,2.3,2025-08-01T03:25:00+09:30,PT5M
5,-95,0,0,0,0,996.6,204,2.7,140,CLEAR,10.4,2.3,2025-08-01T03:30:00+09:30,PT5M
5,-95,0,0,0,0,996.6,204,2.7,139,CLEAR,10.6,2.4,2025-08-01T03:35:00+09:30,PT5M
5,-94,0,0,0,0,996.6,204,2.8,138,CLEAR,10.7,2.4,2025-08-01T03:40:00+09:30,PT5M
5,-93,0,0,0,0,996.6,203,2.8,137,CLEAR,10.9,2.5,2025-08-01T03:45:00+09:30,PT5M
5,-93,0,0,0,0,996.6,203,2.8,136,CLEAR,11,2.5,2025-08-01T03:50:00+09:30,PT5M
5,-92,0,0,0,0,996.6,203,2.8,134,CLEAR,11.2,2.5,2025-08-01T03:55:00+09:30,PT5M
5,-91,0,0,0,0,996.6,203,2.8,133,CLEAR,11.3,2.6,2025-08-01T04:00:00+09:30,PT5M
5,-91,0,0,0,0,996.6,203,2.8,132,CLEAR,11.5,2.6,2025-08-01T04:05:00+09:30,PT5M
5,-90,0,0,0,0,996.5,203,2.8,131,CLEAR,11.7,2.7,2025-08-01T04:10:00+09:30,PT5M
5,-90,0,0,0,0,996.5,203,2.9,130,CLEAR,11.9,2.7,2025-08-01T04:15:00+09:30,PT5M
5,-89,0,0,0,0,996.5,202,2.9,129,CLEAR,12.1,2.7,2025-08-01T04:20:00+09:30,PT5M
5,-88,0,0,0,0,996.5,202,2.9,128,CLEAR,12.3,2.8,2025-08-01T04:25:00+09:30,PT5M
5,-88,0,0,0,0,996.5,202,2.9,127,CLEAR,12.5,2.8,2025-08-01T04:30:00+09:30,PT5M
5,-87,0,0,0,0,996.5,202,2.9,126,CLEAR,12.6,2.9,2025-08-01T04:35:00+09:30,PT5M
5,-87,0,0,0,0,996.5,202,2.9,125,CLEAR,12.8,2.9,2025-08-01T04:40:00+09:30,PT5M
5,-86,0,0,0,0,996.6,201,2.9,124,CLEAR,13,3,2025-08-01T04:45:00+09:30,PT5M
5,-86,0,0,0,0,996.6,201,2.9,122,CLEAR,13.2,3,2025-08-01T04:50:00+09:30,PT5M
5,-85,0,0,0,0,996.6,200,3,121,CLEAR,13.4,3,2025-08-01T04:55:00+09:30,PT5M
5,-84,0,0,0,0,996.6,200,3,120,CLEAR,13.6,3.1,2025-08-01T05:00:00+09:30,PT5M
5,-84,0,0,0,0,996.7,199,3,119,CLEAR,13.8,3.1,2025-08-01T05:05:00+09:30,PT5M
5,-83,0,0,0,0,996.7,199,3,118,CLEAR,14,3.2,2025-08-01T05:10:00+09:30,PT5M
5,-83,0,0,0,0,996.7,199,3,117,CLEAR,14.2,3.2,2025-08-01T05:15:00+09:30,PT5M
5,-82,0,0,0,0,996.7,198,3,116,CLEAR,14.3,3.3,2025-08-01T05:20:00+09:30,PT5M
5,-82,0,0,0,0,996.8,198,3,115,CLEAR,14.5,3.3,2025-08-01T05:25:00+09:30,PT5M
4,-81,0,0,0,0,996.8,197,3,114,CLEAR,14.7,3.4,2025-08-01T05:30:00+09:30,PT5M
4,-81,0,0,0,0,996.8,197,3,113,CLEAR,14.9,3.4,2025-08-01T05:35:00+09:30,PT5M
4,-80,0,0,0,0,996.8,197,3,112,CLEAR,15.1,3.5,2025-08-01T05:40:00+09:30,PT5M
4,-80,0,0,0,0,996.9,197,3,111,CLEAR,15.3,3.5,2025-08-01T05:45:00+09:30,PT5M
