air_temp,azimuth,cloud_opacity,ghi,gti,precipitation_rate,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,weather_type,pm10,pm2.5,period_end,period
7,158,44.8,0,0,0,1032.8,162,2.1,165,MOSTLY CLOUDY,15.1,4.7,2025-08-01T00:05:00+09:30,PT5M
7,163,40.1,0,0,0,1032.8,162,2.1,166,MOSTLY CLOUDY,15.1,4.7,2025-08-01T00:10:00+09:30,PT5M
7,167,35.3,0,0,0,1032.8,162,2.1,166,MOSTLY CLOUDY,15,4.7,2025-08-01T00:15:00+09:30,PT5M
7,172,33.6,0,0,0,1032.8,161,2.1,166,PARTLY CLOUDY,15,4.7,2025-08-01T00:20:00+09:30,PT5M
7,177,32,0,0,0,1032.7,161,2.1,166,PARTLY CLOUDY,15,4.7,2025-08-01T00:25:00+09:30,PT5M
7,-178,25,0,0,0,1032.7,161,2.1,166,PARTLY CLOUDY,15,4.7,2025-08-01T00:30:00+09:30,PT5M
7,-173,25,0,0,0,1032.7,161,2.1,166,PARTLY CLOUDY,14.9,4.8,2025-08-01T00:35:00+09:30,PT5M
6,-168,19.6,0,0,0,1032.7,161,2.1,166,PARTLY CLOUDY,14.9,4.8,2025-08-01T00:40:00+09:30,PT5M
6,-164,15.9,0,0,0,1032.7,161,2.1,166,PARTLY CLOUDY,14.9,4.8,2025-08-01T00:45:00+09:30,PT5M
6,-159,19.6,0,0,0,1032.7,160,2.1,165,PARTLY CLOUDY,14.9,4.8,2025-08-01T00:50:00+09:30,PT5M
6,-155,19.6,0,0,0,1032.7,160,2.1,165,PARTLY CLOUDY,14.8,4.8,2025-08-01T00:55:00+09:30,PT5M
6,-151,15.9,0,0,0,1032.7,160,2.1,164,PARTLY CLOUDY,14.8,4.8,2025-08-01T01:00:00+09:30,PT5M
6,-147,12.1,0,0,0,1032.7,160,2.1,164,PARTLY CLOUDY,14.7,4.8,2025-08-01T01:05:00+09:30,PT5M
6,-143,15.9,0,0,0,1032.7,160,2.1,163,PARTLY CLOUDY,14.6,4.8,2025-08-01T01:10:00+09:30,PT5M
6,-140,10.1,0,0,0,1032.7,160,2.1,162,PARTLY CLOUDY,14.5,4.8,2025-08-01T01:15:00+09:30,PT5M
6,-137,8.2,0,0,0,1032.7,160,2,162,MOSTLY CLEAR,14.4,4.8,2025-08-01T01:20:00+09:30,PT5M
6,-134,10.1,0,0,0,1032.7,160,2,161,PARTLY CLOUDY,14.3,4.8,2025-08-01T01:25:00+09:30,PT5M
6,-131,10.1,0,0,0,1032.7,160,2,160,PARTLY CLOUDY,14.2,4.8,2025-08-01T01:30:00+09:30,PT5M
